now,stage,power,voltage,current,resistance,temperature,last-power,last-voltage,last-current,last-resistance,last-temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,,3.17,2.10,1.51,1.391,24.5,0.00,0.00,0.00,0.000,0.0
1.349,,29.05,6.37,4.56,1.397,25.6,0.00,0.00,0.00,0.000,0.0
2.701,,28.64,6.35,4.51,1.408,27.7,0.00,0.00,0.00,0.000,0.0
5.001,,28.73,6.37,4.51,1.412,28.5,0.00,0.00,0.00,0.000,0.0
7.502,,28.75,6.39,4.50,1.420,29.9,0.00,0.00,0.00,0.000,0.0
10.002,,28.74,6.40,4.49,1.425,30.9,0.00,0.00,0.00,0.000,0.0
12.502,,28.72,6.41,4.48,1.431,31.9,0.00,0.00,0.00,0.000,0.0
15.002,,28.74,6.43,4.47,1.438,33.3,0.00,0.00,0.00,0.000,0.0
17.502,,28.72,6.44,4.46,1.444,34.3,0.00,0.00,0.00,0.000,0.0
20.002,,28.88,6.46,4.47,1.445,34.6,0.00,0.00,0.00,0.000,0.0
22.502,,28.75,6.46,4.45,1.452,35.8,0.00,0.00,0.00,0.000,0.0
25.002,,28.68,6.46,4.44,1.455,36.4,0.00,0.00,0.00,0.000,0.0
27.501,,28.71,6.48,4.43,1.463,37.8,0.00,0.00,0.00,0.000,0.0
30.001,,28.79,6.50,4.43,1.467,38.7,0.00,0.00,0.00,0.000,0.0
32.501,,28.73,6.50,4.42,1.471,39.3,0.00,0.00,0.00,0.000,0.0
35.002,,28.82,6.52,4.42,1.475,40.1,0.00,0.00,0.00,0.000,0.0
37.502,,28.80,6.53,4.41,1.481,41.1,0.00,0.00,0.00,0.000,0.0
40.002,,28.78,6.54,4.40,1.486,42.2,0.00,0.00,0.00,0.000,0.0
42.502,,28.71,6.54,4.39,1.490,42.8,0.00,0.00,0.00,0.000,0.0
45.002,,28.73,6.56,4.38,1.498,44.3,0.00,0.00,0.00,0.000,0.0
47.502,,28.93,6.59,4.39,1.501,44.9,0.00,0.00,0.00,0.000,0.0
50.001,,28.86,6.59,4.38,1.505,45.5,0.00,0.00,0.00,0.000,0.0
52.502,,28.84,6.60,4.37,1.510,46.6,0.00,0.00,0.00,0.000,0.0
55.001,,28.78,6.60,4.36,1.514,47.2,0.00,0.00,0.00,0.000,0.0
57.501,,28.75,6.61,4.35,1.520,48.3,0.00,0.00,0.00,0.000,0.0
60.002,,28.80,6.62,4.35,1.522,48.7,0.00,0.00,0.00,0.000,0.0
62.502,,28.82,6.64,4.34,1.530,50.2,0.00,0.00,0.00,0.000,0.0
65.001,,28.86,6.65,4.34,1.532,50.7,0.00,0.00,0.00,0.000,0.0
67.501,,28.79,6.65,4.33,1.536,51.3,0.00,0.00,0.00,0.000,0.0
70.002,,28.77,6.66,4.32,1.542,52.4,0.00,0.00,0.00,0.000,0.0
72.502,,28.75,6.67,4.31,1.548,53.5,0.00,0.00,0.00,0.000,0.0
75.002,,28.68,6.67,4.30,1.551,54.2,0.00,0.00,0.00,0.000,0.0
77.502,,28.72,6.68,4.30,1.553,54.6,0.00,0.00,0.00,0.000,0.0
80.002,,28.74,6.70,4.29,1.562,56.1,0.00,0.00,0.00,0.000,0.0
82.502,,28.79,6.71,4.29,1.564,56.6,0.00,0.00,0.00,0.000,0.0
85.002,,28.72,6.71,4.28,1.568,57.2,0.00,0.00,0.00,0.000,0.0
87.501,,28.76,6.72,4.28,1.570,57.7,0.00,0.00,0.00,0.000,0.0
90.001,,28.74,6.73,4.27,1.576,58.8,0.00,0.00,0.00,0.000,0.0
92.502,,28.82,6.75,4.27,1.581,59.6,0.00,0.00,0.00,0.000,0.0
95.002,,28.75,6.75,4.26,1.585,60.3,0.00,0.00,0.00,0.000,0.0
97.501,,28.69,6.75,4.25,1.588,61.0,0.00,0.00,0.00,0.000,0.0
100.001,,28.73,6.76,4.25,1.591,61.5,0.00,0.00,0.00,0.000,0.0
102.501,,28.77,6.77,4.25,1.593,61.9,0.00,0.00,0.00,0.000,0.0
105.002,,28.70,6.77,4.24,1.597,62.6,0.00,0.00,0.00,0.000,0.0
