now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
880.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.027790
882.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.111542
885.001,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.100388
887.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.127217
890.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.077627
892.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.069865
895.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.062878
897.501,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.056590
900.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.050931
902.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.082706
905.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.037568
907.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.070678
910.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.063611
912.501,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.020382
915.001,timerEvent,49.66,10.82,4.59,2.357,184.1,0,0.018344
917.501,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.103417
920.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.079903
922.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.071912
925.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.064721
927.501,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.058249
930.001,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.052424
932.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.047182
935.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0,0.042464
937.502,timerEvent,49.97,10.84,4.61,2.351,183.1,0,0.038217
940.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.052295
942.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.034110
945.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.030699
947.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.027629
950.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.024866
952.501,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.022380
955.002,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.020142
957.501,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.067871
960.002,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.097871
962.502,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.051296
965.002,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.046167
967.501,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.078338
970.002,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.033716
972.501,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.067132
975.001,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.060419
