now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,5.75,2.86,2.01,1.423,25.6,0
1.349,timerEvent,10.20,3.79,2.69,1.409,23.2,0
2.702,timerEvent,9.91,3.74,2.65,1.411,23.6,0
5.001,timerEvent,9.87,3.74,2.64,1.417,24.5,0
7.502,timerEvent,9.94,3.75,2.65,1.415,24.3,0
10.002,timerEvent,9.90,3.75,2.64,1.420,25.2,0
12.501,timerEvent,9.90,3.75,2.64,1.420,25.2,0
15.002,timerEvent,9.90,3.75,2.64,1.420,25.2,0
17.502,timerEvent,9.86,3.75,2.63,1.426,26.1,0
20.001,timerEvent,9.93,3.76,2.64,1.424,25.8,0
22.502,timerEvent,9.93,3.76,2.64,1.424,25.8,0
25.001,timerEvent,9.89,3.76,2.63,1.430,26.7,0
27.501,timerEvent,9.89,3.76,2.63,1.430,26.7,0
30.001,timerEvent,9.89,3.76,2.63,1.430,26.7,0
32.501,timerEvent,9.85,3.76,2.62,1.435,27.7,0
35.001,timerEvent,9.85,3.76,2.62,1.435,27.7,0
37.502,timerEvent,9.85,3.76,2.62,1.435,27.7,0
40.002,timerEvent,9.85,3.76,2.62,1.435,27.7,0
42.502,timerEvent,9.81,3.76,2.61,1.441,28.6,0
45.002,timerEvent,9.90,3.78,2.62,1.443,29.0,0
47.502,timerEvent,9.90,3.78,2.62,1.443,29.0,0
50.001,timerEvent,9.87,3.78,2.61,1.448,29.9,0
52.502,timerEvent,9.93,3.79,2.62,1.447,29.6,0
55.001,timerEvent,9.89,3.79,2.61,1.452,30.6,0
57.502,timerEvent,9.96,3.80,2.62,1.450,30.3,0
60.002,timerEvent,9.89,3.79,2.61,1.452,30.6,0
62.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0
65.002,timerEvent,9.92,3.80,2.61,1.456,31.2,0
67.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0
70.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0
72.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0
75.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0
77.502,timerEvent,9.84,3.80,2.59,1.467,33.1,0
80.001,timerEvent,9.93,3.82,2.60,1.469,33.5,0
82.502,timerEvent,9.93,3.82,2.60,1.469,33.5,0
85.002,timerEvent,9.89,3.82,2.59,1.475,34.4,0
87.501,timerEvent,9.96,3.83,2.60,1.473,34.1,0
90.002,timerEvent,9.89,3.82,2.59,1.475,34.4,0
92.502,timerEvent,9.96,3.83,2.60,1.473,34.1,0
95.001,timerEvent,9.89,3.82,2.59,1.475,34.4,0
97.502,timerEvent,9.92,3.83,2.59,1.479,35.1,0
100.002,timerEvent,9.92,3.83,2.59,1.479,35.1,0
102.501,timerEvent,9.92,3.83,2.59,1.479,35.1,0
105.002,timerEvent,9.88,3.83,2.58,1.484,36.0,0
107.502,timerEvent,9.95,3.84,2.59,1.483,35.7,0
110.002,timerEvent,9.95,3.84,2.59,1.483,35.7,0
112.501,timerEvent,9.91,3.84,2.58,1.488,36.7,0
115.001,timerEvent,9.91,3.84,2.58,1.488,36.7,0
117.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0
120.002,timerEvent,9.91,3.84,2.58,1.488,36.7,0
122.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0
125.002,timerEvent,9.87,3.84,2.57,1.494,37.7,0
127.501,timerEvent,9.96,3.86,2.58,1.496,38.0,0
130.001,timerEvent,9.96,3.86,2.58,1.496,38.0,0
132.502,timerEvent,9.96,3.86,2.58,1.496,38.0,0
135.001,timerEvent,9.92,3.86,2.57,1.502,39.0,0
137.501,timerEvent,9.92,3.86,2.57,1.502,39.0,0
140.002,timerEvent,9.92,3.86,2.57,1.502,39.0,0
142.501,timerEvent,9.92,3.86,2.57,1.502,39.0,0
145.001,timerEvent,9.92,3.86,2.57,1.502,39.0,0
147.502,timerEvent,9.88,3.86,2.56,1.508,40.0,0
150.002,timerEvent,9.95,3.87,2.57,1.506,39.7,0
152.502,timerEvent,9.95,3.87,2.57,1.506,39.7,0
155.002,timerEvent,9.95,3.87,2.57,1.506,39.7,0
157.501,timerEvent,9.95,3.87,2.57,1.506,39.7,0
160.002,timerEvent,9.91,3.87,2.56,1.512,40.7,0
162.502,timerEvent,9.91,3.87,2.56,1.512,40.7,0
165.002,timerEvent,9.91,3.87,2.56,1.512,40.7,0
167.502,timerEvent,9.91,3.87,2.56,1.512,40.7,0
170.002,timerEvent,9.87,3.87,2.55,1.518,41.7,0
