now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0,0.000000
0.000,timerEvent,5.83,2.90,2.01,1.443,29.0,0,0.000000
1.350,timerEvent,12.97,4.04,3.21,1.259,-2.3,0,0.000000
2.702,timerEvent,8.85,3.54,2.50,1.416,24.4,0,-0.184219
5.001,timerEvent,9.90,3.75,2.64,1.420,25.2,0,-0.150054
7.502,timerEvent,9.90,3.75,2.64,1.420,25.2,0,-0.134603
10.002,timerEvent,9.86,3.75,2.63,1.426,26.1,0,-0.121143
12.502,timerEvent,9.95,3.77,2.64,1.428,26.5,0,-0.108488
15.002,timerEvent,9.93,3.76,2.64,1.424,25.8,0,-0.097422
17.502,timerEvent,9.92,3.77,2.63,1.433,27.4,0,-0.088059
20.002,timerEvent,9.89,3.76,2.63,1.430,26.7,0,-0.078331
22.502,timerEvent,9.92,3.77,2.63,1.433,27.4,0,-0.070878
25.002,timerEvent,9.88,3.77,2.62,1.439,28.3,0,-0.063410
27.502,timerEvent,9.94,3.78,2.63,1.437,28.0,0,-0.056522
30.002,timerEvent,9.90,3.78,2.62,1.443,29.0,0,-0.051037
32.502,timerEvent,9.87,3.78,2.61,1.448,29.9,0,-0.045384
35.002,timerEvent,9.93,3.79,2.62,1.447,29.6,0,-0.040293
37.502,timerEvent,9.89,3.79,2.61,1.452,30.6,0,-0.036435
40.001,timerEvent,9.92,3.80,2.61,1.456,31.2,0,-0.032237
42.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0,-0.028630
45.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.025767
47.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0,-0.022631
50.002,timerEvent,9.84,3.80,2.59,1.467,33.1,0,-0.020368
52.502,timerEvent,9.93,3.82,2.60,1.469,33.5,0,-0.017767
55.002,timerEvent,9.93,3.82,2.60,1.469,33.5,0,-0.015785
57.502,timerEvent,9.93,3.82,2.60,1.469,33.5,0,-0.014206
60.002,timerEvent,9.89,3.82,2.59,1.475,34.4,0,-0.012786
62.502,timerEvent,9.96,3.83,2.60,1.473,34.1,0,-0.010940
65.002,timerEvent,9.89,3.82,2.59,1.475,34.4,0,-0.010029
67.502,timerEvent,9.96,3.83,2.60,1.473,34.1,0,-0.008843
70.002,timerEvent,9.83,3.81,2.58,1.477,34.7,0,-0.008141
72.502,timerEvent,9.96,3.83,2.60,1.473,34.1,0,-0.006961
75.001,timerEvent,9.86,3.82,2.58,1.481,35.4,0,-0.006631
77.502,timerEvent,9.92,3.83,2.59,1.479,35.1,0,-0.005214
80.002,timerEvent,9.92,3.83,2.59,1.479,35.1,0,-0.004878
82.502,timerEvent,9.92,3.83,2.59,1.479,35.1,0,-0.004390
85.002,timerEvent,9.88,3.83,2.58,1.484,36.0,0,-0.003951
87.502,timerEvent,9.95,3.84,2.59,1.483,35.7,0,-0.002983
90.002,timerEvent,9.97,3.85,2.59,1.486,36.4,0,-0.002872
92.502,timerEvent,9.95,3.84,2.59,1.483,35.7,0,-0.002198
95.001,timerEvent,9.91,3.84,2.58,1.488,36.7,0,-0.002365
97.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0,-0.001554
100.002,timerEvent,9.91,3.84,2.58,1.488,36.7,0,-0.001398
102.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0,-0.001258
105.001,timerEvent,9.89,3.85,2.57,1.498,38.3,0,-0.001133
107.502,timerEvent,9.96,3.86,2.58,1.496,38.0,1,-0.000051
110.003,timerEvent,9.96,3.86,2.58,1.496,38.0,2,-0.000239
112.502,timerEvent,9.96,3.86,2.58,1.496,38.0,3,-0.000215
115.002,timerEvent,9.96,3.86,2.58,1.496,38.0,4,-0.000194
117.502,timerEvent,9.96,3.86,2.58,1.496,38.0,5,-0.000174
120.002,timerEvent,9.96,3.86,2.58,1.496,38.0,6,-0.000157
122.502,timerEvent,9.92,3.86,2.57,1.502,39.0,7,-0.000141
125.002,timerEvent,9.92,3.86,2.57,1.502,39.0,8,0.000455
127.502,timerEvent,9.92,3.86,2.57,1.502,39.0,9,0.000410
127.502,timerEvent,9.92,3.86,2.57,1.502,39.0,9,0.000410
