now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count
0.000,preprocess,5.443,2.729,1.995,1.36812,26.7,,2.73,2.00,0,0.000000,0
0.000,timerEvent,89.105,11.112,8.019,1.38566,30.0,bangBang,11.15,8.02,0,0.000000,0
1.355,timerEvent,91.380,11.381,8.029,1.41749,36.1,bangBang,11.42,8.03,0,0.000000,0
2.712,timerEvent,92.582,11.531,8.029,1.43613,39.7,bangBang,11.57,8.03,0,0.000000,0
4.069,timerEvent,93.464,11.641,8.029,1.44981,42.3,bangBang,11.68,8.03,0,0.000000,0
6.001,timerEvent,94.387,11.770,8.019,1.46780,45.7,bangBang,11.81,8.02,0,0.000000,0
8.002,timerEvent,95.587,11.920,8.019,1.48647,49.3,bangBang,11.96,8.02,0,0.000000,0
10.000,timerEvent,96.546,12.040,8.019,1.50137,52.1,bangBang,12.08,8.02,0,0.000000,0
12.001,timerEvent,97.663,12.179,8.019,1.51874,55.5,bangBang,12.22,8.02,0,0.000000,0
14.001,timerEvent,98.461,12.278,8.019,1.53115,57.8,bangBang,12.32,8.02,0,0.000000,0
16.002,timerEvent,99.703,12.418,8.029,1.54659,60.8,bangBang,12.46,8.03,0,0.000000,0
18.001,timerEvent,5.987,3.017,1.985,1.52020,55.7,bangBang,3.02,1.99,0,0.000000,0
20.002,timerEvent,98.940,12.338,8.019,1.53860,59.2,bangBang,12.38,8.02,0,0.000000,0
22.002,timerEvent,101.061,12.587,8.029,1.56765,64.8,bangBang,12.63,8.03,0,0.000000,0
24.001,timerEvent,5.897,3.017,1.955,1.54355,60.2,bangBang,3.02,1.96,0,0.000000,0
26.002,timerEvent,5.957,3.017,1.975,1.52791,57.2,bangBang,3.02,1.98,0,0.000000,0
28.002,timerEvent,100.615,12.547,8.019,1.56466,64.2,bangBang,12.59,8.02,0,0.000000,0
30.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
