now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count
32.001,timerEvent,5.897,3.017,1.955,1.54355,60.2,bangBang,3.02,1.96,0,0.000000,0
34.002,timerEvent,5.907,3.007,1.965,1.53060,57.7,bangBang,3.01,1.97,0,0.000000,0
36.001,timerEvent,101.493,12.656,8.019,1.57830,66.8,bangBang,12.70,8.02,0,0.000000,0
38.002,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
40.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
42.001,timerEvent,5.877,3.007,1.955,1.53843,59.2,bangBang,3.01,1.96,0,0.000000,0
44.001,timerEvent,102.211,12.746,8.019,1.58947,69.0,bangBang,12.79,8.02,0,0.000000,0
46.001,timerEvent,5.806,3.017,1.925,1.56762,64.8,bangBang,3.02,1.93,0,0.000000,0
48.002,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
50.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
52.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
54.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
56.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
58.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
60.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
62.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
64.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
66.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
68.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
70.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
72.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
74.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
76.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
78.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
80.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
82.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
84.000,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
86.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
88.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
90.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
92.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
94.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
96.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
98.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
100.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
102.001,timerEvent,5.877,3.007,1.955,1.53843,59.2,bangBang,3.01,1.96,0,0.000000,0
104.001,timerEvent,102.371,12.766,8.019,1.59195,69.4,bangBang,12.81,8.02,0,0.000000,0
106.002,timerEvent,5.776,3.017,1.915,1.57581,66.3,bangBang,3.02,1.92,0,0.000000,0
108.002,timerEvent,5.806,3.017,1.925,1.56762,64.8,bangBang,3.02,1.93,0,0.000000,0
110.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
112.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
114.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
116.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
118.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
120.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
122.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
124.000,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
126.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
128.002,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
130.001,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
132.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
134.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
136.002,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
138.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
140.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
142.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
144.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
146.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
148.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
150.000,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
152.001,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
154.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
156.000,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
158.001,timerEvent,5.837,3.017,1.935,1.55951,63.2,bangBang,3.02,1.94,0,0.000000,0
160.002,timerEvent,5.817,3.007,1.935,1.55435,62.2,bangBang,3.01,1.94,0,0.000000,0
162.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
164.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
166.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
168.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
170.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
172.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
174.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
176.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
178.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
180.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
182.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
184.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
186.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
188.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
190.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
192.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
194.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
196.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
198.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
200.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
202.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
204.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
206.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
208.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
210.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
212.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
214.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
216.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
218.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
220.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
222.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
224.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
226.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
228.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
230.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
232.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
234.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
236.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
238.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
240.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
242.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
244.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
246.002,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
248.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
250.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
252.001,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
254.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
256.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
258.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
260.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
262.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
264.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
266.002,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
268.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
270.000,timerEvent,5.867,3.017,1.945,1.55149,61.7,bangBang,3.02,1.95,0,0.000000,0
272.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
274.001,timerEvent,5.847,3.007,1.945,1.54635,60.7,bangBang,3.01,1.95,0,0.000000,0
