now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,5.85,2.91,2.01,1.448,29.8,0
1.349,timerEvent,13.20,4.05,3.26,1.242,-5.0,0
2.700,timerEvent,8.87,3.52,2.52,1.397,21.2,0
5.002,timerEvent,9.92,3.73,2.66,1.402,22.1,0
7.502,timerEvent,9.86,3.72,2.65,1.404,22.4,0
10.002,timerEvent,9.88,3.73,2.65,1.408,23.0,0
12.503,timerEvent,9.95,3.74,2.66,1.406,22.7,0
15.002,timerEvent,9.85,3.73,2.64,1.413,23.9,0
17.502,timerEvent,9.91,3.74,2.65,1.411,23.6,0
20.001,timerEvent,9.87,3.74,2.64,1.417,24.5,0
22.502,timerEvent,9.94,3.75,2.65,1.415,24.3,0
25.002,timerEvent,9.90,3.75,2.64,1.420,25.2,0
27.502,timerEvent,9.90,3.75,2.64,1.420,25.2,0
30.002,timerEvent,9.90,3.75,2.64,1.420,25.2,0
32.502,timerEvent,9.86,3.75,2.63,1.426,26.1,0
35.002,timerEvent,9.93,3.76,2.64,1.424,25.8,0
37.502,timerEvent,9.93,3.76,2.64,1.424,25.8,0
40.002,timerEvent,9.92,3.77,2.63,1.433,27.4,0
42.502,timerEvent,9.89,3.76,2.63,1.430,26.7,0
45.001,timerEvent,9.89,3.76,2.63,1.430,26.7,0
47.502,timerEvent,9.85,3.76,2.62,1.435,27.7,0
50.002,timerEvent,9.85,3.76,2.62,1.435,27.7,0
52.501,timerEvent,9.84,3.77,2.61,1.444,29.3,0
55.002,timerEvent,9.97,3.79,2.63,1.441,28.7,0
57.502,timerEvent,9.90,3.78,2.62,1.443,29.0,0
60.001,timerEvent,9.90,3.78,2.62,1.443,29.0,0
62.502,timerEvent,9.90,3.78,2.62,1.443,29.0,0
65.002,timerEvent,9.87,3.78,2.61,1.448,29.9,0
67.502,timerEvent,9.93,3.79,2.62,1.447,29.6,0
70.002,timerEvent,9.89,3.79,2.61,1.452,30.6,0
72.502,timerEvent,9.96,3.80,2.62,1.450,30.3,0
75.002,timerEvent,9.89,3.79,2.61,1.452,30.6,0
77.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0
80.002,timerEvent,9.92,3.80,2.61,1.456,31.2,0
82.502,timerEvent,9.92,3.80,2.61,1.456,31.2,0
85.002,timerEvent,9.92,3.80,2.61,1.456,31.2,0
87.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0
90.002,timerEvent,9.88,3.80,2.60,1.462,32.1,0
92.502,timerEvent,9.88,3.80,2.60,1.462,32.1,0
95.002,timerEvent,9.84,3.80,2.59,1.467,33.1,0
97.501,timerEvent,9.93,3.82,2.60,1.469,33.5,0
100.002,timerEvent,9.93,3.82,2.60,1.469,33.5,0
102.502,timerEvent,9.89,3.82,2.59,1.475,34.4,0
105.002,timerEvent,9.96,3.83,2.60,1.473,34.1,0
107.502,timerEvent,9.89,3.82,2.59,1.475,34.4,0
110.002,timerEvent,9.96,3.83,2.60,1.473,34.1,0
112.502,timerEvent,9.83,3.81,2.58,1.477,34.7,0
115.001,timerEvent,9.92,3.83,2.59,1.479,35.1,0
117.501,timerEvent,9.92,3.83,2.59,1.479,35.1,0
120.001,timerEvent,9.92,3.83,2.59,1.479,35.1,0
122.502,timerEvent,9.92,3.83,2.59,1.479,35.1,0
125.001,timerEvent,9.88,3.83,2.58,1.484,36.0,0
127.502,timerEvent,9.95,3.84,2.59,1.483,35.7,0
130.001,timerEvent,9.95,3.84,2.59,1.483,35.7,0
132.501,timerEvent,9.95,3.84,2.59,1.483,35.7,0
135.002,timerEvent,9.91,3.84,2.58,1.488,36.7,0
137.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0
140.002,timerEvent,9.91,3.84,2.58,1.488,36.7,0
142.502,timerEvent,9.91,3.84,2.58,1.488,36.7,0
145.002,timerEvent,9.87,3.84,2.57,1.494,37.7,0
147.502,timerEvent,9.96,3.86,2.58,1.496,38.0,0
150.002,timerEvent,9.96,3.86,2.58,1.496,38.0,0
152.502,timerEvent,9.93,3.85,2.58,1.492,37.4,0
155.002,timerEvent,9.92,3.86,2.57,1.502,39.0,0
157.501,timerEvent,9.89,3.85,2.57,1.498,38.3,0
160.002,timerEvent,9.92,3.86,2.57,1.502,39.0,0
162.502,timerEvent,9.92,3.86,2.57,1.502,39.0,0
165.002,timerEvent,9.92,3.86,2.57,1.502,39.0,0
167.502,timerEvent,9.88,3.86,2.56,1.508,40.0,0
170.001,timerEvent,9.95,3.87,2.57,1.506,39.7,0
172.502,timerEvent,9.95,3.87,2.57,1.506,39.7,0
175.001,timerEvent,9.95,3.87,2.57,1.506,39.7,0
177.502,timerEvent,9.95,3.87,2.57,1.506,39.7,0
180.001,timerEvent,9.91,3.87,2.56,1.512,40.7,0
182.502,timerEvent,9.91,3.87,2.56,1.512,40.7,0
185.002,timerEvent,9.91,3.87,2.56,1.512,40.7,0
187.502,timerEvent,9.91,3.87,2.56,1.512,40.7,0
190.002,timerEvent,9.87,3.87,2.55,1.518,41.7,0
192.501,timerEvent,9.93,3.88,2.56,1.516,41.3,0
195.001,timerEvent,9.93,3.88,2.56,1.516,41.3,0
197.502,timerEvent,9.93,3.88,2.56,1.516,41.3,0
200.002,timerEvent,9.93,3.88,2.56,1.516,41.3,0
202.502,timerEvent,9.89,3.88,2.55,1.522,42.3,0
205.002,timerEvent,9.98,3.90,2.56,1.523,42.6,0
207.501,timerEvent,9.96,3.89,2.56,1.520,42.0,0
210.002,timerEvent,9.89,3.88,2.55,1.522,42.3,0
212.502,timerEvent,9.94,3.90,2.55,1.529,43.7,0
215.002,timerEvent,9.92,3.89,2.55,1.525,43.0,0
217.503,timerEvent,9.92,3.89,2.55,1.525,43.0,0
220.002,timerEvent,9.92,3.89,2.55,1.525,43.0,0
222.503,timerEvent,9.92,3.89,2.55,1.525,43.0,0
225.002,timerEvent,9.94,3.90,2.55,1.529,43.7,0
227.501,timerEvent,9.91,3.90,2.54,1.535,44.7,0
230.002,timerEvent,9.91,3.90,2.54,1.535,44.7,0
232.502,timerEvent,9.88,3.89,2.54,1.531,44.0,0
235.002,timerEvent,9.91,3.90,2.54,1.535,44.7,0
237.502,timerEvent,9.91,3.90,2.54,1.535,44.7,0
240.002,timerEvent,9.88,3.89,2.54,1.531,44.0,0
242.502,timerEvent,9.84,3.89,2.53,1.538,45.0,0
245.002,timerEvent,9.93,3.91,2.54,1.539,45.3,0
247.501,timerEvent,9.93,3.91,2.54,1.539,45.3,0
250.002,timerEvent,9.93,3.91,2.54,1.539,45.3,0
252.502,timerEvent,9.93,3.91,2.54,1.539,45.3,0
255.002,timerEvent,9.93,3.91,2.54,1.539,45.3,0
257.502,timerEvent,9.89,3.91,2.53,1.545,46.4,0
260.002,timerEvent,9.96,3.92,2.54,1.543,46.0,0
262.502,timerEvent,9.89,3.91,2.53,1.545,46.4,0
265.002,timerEvent,9.96,3.92,2.54,1.543,46.0,0
267.502,timerEvent,9.89,3.91,2.53,1.545,46.4,0
270.002,timerEvent,9.92,3.92,2.53,1.549,47.1,0
272.502,timerEvent,9.92,3.92,2.53,1.549,47.1,0
275.002,timerEvent,9.92,3.92,2.53,1.549,47.1,0
277.502,timerEvent,9.92,3.92,2.53,1.549,47.1,0
280.002,timerEvent,9.92,3.92,2.53,1.549,47.1,0
282.502,timerEvent,9.92,3.92,2.53,1.549,47.1,0
285.002,timerEvent,9.88,3.92,2.52,1.556,48.1,0
287.501,timerEvent,9.97,3.94,2.53,1.557,48.4,0
290.001,timerEvent,9.97,3.94,2.53,1.557,48.4,0
292.501,timerEvent,9.97,3.94,2.53,1.557,48.4,0
295.002,timerEvent,9.97,3.94,2.53,1.557,48.4,0
297.502,timerEvent,9.94,3.93,2.53,1.553,47.7,0
300.001,timerEvent,9.94,3.93,2.53,1.553,47.7,0
302.502,timerEvent,9.97,3.94,2.53,1.557,48.4,0
305.001,timerEvent,9.90,3.93,2.52,1.560,48.8,0
307.502,timerEvent,9.93,3.94,2.52,1.563,49.4,0
310.002,timerEvent,9.93,3.94,2.52,1.563,49.4,0
312.502,timerEvent,9.93,3.94,2.52,1.563,49.4,0
315.002,timerEvent,9.93,3.94,2.52,1.563,49.4,0
317.502,timerEvent,9.93,3.94,2.52,1.563,49.4,0
320.001,timerEvent,9.93,3.94,2.52,1.563,49.4,0
322.502,timerEvent,9.89,3.94,2.51,1.570,50.5,0
325.002,timerEvent,9.95,3.95,2.52,1.567,50.1,0
327.502,timerEvent,9.89,3.94,2.51,1.570,50.5,0
330.001,timerEvent,9.95,3.95,2.52,1.567,50.1,0
332.502,timerEvent,9.89,3.94,2.51,1.570,50.5,0
335.002,timerEvent,9.91,3.95,2.51,1.574,51.2,0
337.502,timerEvent,9.91,3.95,2.51,1.574,51.2,0
340.002,timerEvent,9.91,3.95,2.51,1.574,51.2,0
342.501,timerEvent,9.91,3.95,2.51,1.574,51.2,0
345.002,timerEvent,9.91,3.95,2.51,1.574,51.2,0
347.502,timerEvent,9.91,3.95,2.51,1.574,51.2,0
350.003,timerEvent,9.91,3.95,2.51,1.574,51.2,0
352.502,timerEvent,9.91,3.95,2.51,1.574,51.2,0
355.002,timerEvent,9.91,3.95,2.51,1.574,51.2,0
357.503,timerEvent,9.91,3.95,2.51,1.574,51.2,0
360.002,timerEvent,9.88,3.95,2.50,1.580,52.2,0
362.502,timerEvent,9.94,3.96,2.51,1.578,51.8,0
365.001,timerEvent,9.94,3.96,2.51,1.578,51.8,0
367.502,timerEvent,9.94,3.96,2.51,1.578,51.8,0
370.002,timerEvent,9.94,3.96,2.51,1.578,51.8,0
372.503,timerEvent,9.94,3.96,2.51,1.578,51.8,0
375.002,timerEvent,9.90,3.96,2.50,1.584,52.9,0
377.501,timerEvent,9.90,3.96,2.50,1.584,52.9,0
380.002,timerEvent,9.90,3.96,2.50,1.584,52.9,0
382.502,timerEvent,9.90,3.96,2.50,1.584,52.9,0
385.002,timerEvent,9.90,3.96,2.50,1.584,52.9,0
387.502,timerEvent,9.90,3.96,2.50,1.584,52.9,0
390.002,timerEvent,9.90,3.96,2.50,1.584,52.9,0
392.502,timerEvent,9.90,3.96,2.50,1.584,52.9,0
395.002,timerEvent,9.90,3.96,2.50,1.584,52.9,0
397.502,timerEvent,9.86,3.96,2.49,1.590,54.0,0
400.002,timerEvent,9.95,3.98,2.50,1.592,54.3,0
402.501,timerEvent,9.95,3.98,2.50,1.592,54.3,0
405.002,timerEvent,9.95,3.98,2.50,1.592,54.3,0
