now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,5.67,2.82,2.01,1.403,22.2,0
1.349,timerEvent,44.45,7.69,5.78,1.330,9.9,0
2.701,timerEvent,37.27,7.28,5.12,1.422,25.4,0
5.002,timerEvent,39.56,7.52,5.26,1.430,26.7,0
7.502,timerEvent,39.43,7.54,5.23,1.442,28.8,0
10.002,timerEvent,39.64,7.58,5.23,1.449,30.1,0
12.502,timerEvent,39.54,7.59,5.21,1.457,31.3,0
15.002,timerEvent,39.62,7.62,5.20,1.465,32.8,0
17.502,timerEvent,39.60,7.63,5.19,1.470,33.6,0
20.002,timerEvent,39.63,7.65,5.18,1.477,34.7,0
22.502,timerEvent,39.53,7.66,5.16,1.484,36.0,0
25.002,timerEvent,39.63,7.68,5.16,1.488,36.7,0
27.502,timerEvent,39.53,7.69,5.14,1.496,38.0,0
30.002,timerEvent,39.55,7.71,5.13,1.503,39.2,0
32.502,timerEvent,39.65,7.73,5.13,1.507,39.8,0
35.002,timerEvent,39.60,7.75,5.11,1.517,41.5,0
37.502,timerEvent,39.58,7.76,5.10,1.522,42.3,0
40.002,timerEvent,39.73,7.79,5.10,1.527,43.3,0
42.502,timerEvent,39.57,7.79,5.08,1.533,44.3,0
45.001,timerEvent,39.67,7.81,5.08,1.537,45.0,0
47.502,timerEvent,39.54,7.83,5.05,1.550,47.2,0
50.002,timerEvent,39.64,7.85,5.05,1.554,47.9,0
52.502,timerEvent,39.66,7.87,5.04,1.562,49.1,0
55.002,timerEvent,39.64,7.88,5.03,1.567,50.0,0
57.502,timerEvent,39.61,7.89,5.02,1.572,50.8,0
60.002,timerEvent,39.63,7.91,5.01,1.579,52.0,0
62.502,timerEvent,39.60,7.92,5.00,1.584,52.9,0
65.002,timerEvent,39.62,7.94,4.99,1.591,54.1,0
67.502,timerEvent,39.72,7.96,4.99,1.595,54.8,0
70.002,timerEvent,39.56,7.96,4.97,1.602,55.9,0
72.502,timerEvent,39.63,7.99,4.96,1.611,57.5,0
75.002,timerEvent,39.68,8.00,4.96,1.613,57.8,0
77.502,timerEvent,39.57,8.01,4.94,1.621,59.3,0
80.002,timerEvent,39.80,8.04,4.95,1.624,59.7,0
82.501,timerEvent,39.64,8.04,4.93,1.631,60.9,0
85.002,timerEvent,39.61,8.05,4.92,1.636,61.8,0
87.502,timerEvent,39.57,8.06,4.91,1.642,62.7,0
90.002,timerEvent,39.59,8.08,4.90,1.649,63.9,0
92.502,timerEvent,39.69,8.10,4.90,1.653,64.6,0
95.001,timerEvent,39.79,8.12,4.90,1.657,65.3,0
97.501,timerEvent,39.63,8.12,4.88,1.664,66.5,0
100.002,timerEvent,39.59,8.13,4.87,1.669,67.4,0
102.502,timerEvent,39.82,8.16,4.88,1.672,67.9,0
105.002,timerEvent,39.66,8.16,4.86,1.679,69.0,0
107.502,timerEvent,39.71,8.17,4.86,1.681,69.4,0
110.002,timerEvent,39.67,8.18,4.85,1.687,70.3,0
112.502,timerEvent,39.69,8.20,4.84,1.694,71.6,0
