now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
167.502,,29.79,7.16,4.16,1.721,29.2,29.70,7.14,4.16,1.716,28.5
170.002,,29.83,7.17,4.16,1.724,29.6,29.79,7.16,4.16,1.721,29.2
172.502,,29.76,7.17,4.15,1.728,30.2,29.83,7.17,4.16,1.724,29.6
175.002,,29.68,7.17,4.14,1.732,30.9,29.76,7.17,4.15,1.728,30.2
177.501,,29.73,7.18,4.14,1.734,31.3,29.68,7.17,4.14,1.732,30.9
180.002,,29.81,7.20,4.14,1.739,32.0,29.73,7.18,4.14,1.734,31.3
182.502,,29.85,7.21,4.14,1.742,32.4,29.81,7.20,4.14,1.739,32.0
185.002,,29.85,7.21,4.14,1.742,32.4,29.85,7.21,4.14,1.742,32.4
187.502,,29.78,7.21,4.13,1.746,33.0,29.85,7.21,4.14,1.742,32.4
190.002,,29.71,7.21,4.12,1.750,33.7,29.78,7.21,4.13,1.746,33.0
192.502,,29.75,7.22,4.12,1.752,34.0,29.71,7.21,4.12,1.750,33.7
195.002,,29.83,7.24,4.12,1.757,34.8,29.75,7.22,4.12,1.752,34.0
197.502,,29.87,7.25,4.12,1.760,35.1,29.83,7.24,4.12,1.757,34.8
200.002,,29.87,7.25,4.12,1.760,35.1,29.87,7.25,4.12,1.760,35.1
202.502,,29.80,7.25,4.11,1.764,35.8,29.87,7.25,4.12,1.760,35.1
205.002,,29.72,7.25,4.10,1.768,36.5,29.80,7.25,4.11,1.764,35.8
207.502,,29.84,7.26,4.11,1.766,36.2,29.72,7.25,4.10,1.768,36.5
210.002,,29.72,7.25,4.10,1.768,36.5,29.84,7.26,4.11,1.766,36.2
212.501,,29.77,7.26,4.10,1.771,36.8,29.72,7.25,4.10,1.768,36.5
215.002,,29.69,7.26,4.09,1.775,37.5,29.77,7.26,4.10,1.771,36.8
217.502,,29.81,7.27,4.10,1.773,37.2,29.69,7.26,4.09,1.775,37.5
220.002,,29.78,7.28,4.09,1.780,38.2,29.81,7.27,4.10,1.773,37.2
222.502,,29.74,7.29,4.08,1.787,39.3,29.78,7.28,4.09,1.780,38.2
225.002,,29.86,7.30,4.09,1.785,39.0,29.74,7.29,4.08,1.787,39.3
227.502,,29.67,7.29,4.07,1.791,40.0,29.86,7.30,4.09,1.785,39.0
230.002,,29.82,7.31,4.08,1.792,40.0,29.67,7.29,4.07,1.791,40.0
232.502,,29.79,7.32,4.07,1.799,41.1,29.82,7.31,4.08,1.792,40.0
235.002,,29.91,7.33,4.08,1.797,40.8,29.79,7.32,4.07,1.799,41.1
237.502,,29.91,7.33,4.08,1.797,40.8,29.91,7.33,4.08,1.797,40.8
240.002,,29.83,7.33,4.07,1.801,41.5,29.91,7.33,4.08,1.797,40.8
242.502,,29.83,7.33,4.07,1.801,41.5,29.83,7.33,4.07,1.801,41.5
245.002,,29.76,7.33,4.06,1.805,42.2,29.83,7.33,4.07,1.801,41.5
247.502,,29.69,7.33,4.05,1.810,42.8,29.76,7.33,4.06,1.805,42.2
250.002,,29.65,7.34,4.04,1.817,43.9,29.69,7.33,4.05,1.810,42.8
252.502,,29.85,7.37,4.05,1.820,44.3,29.65,7.34,4.04,1.817,43.9
255.002,,29.85,7.37,4.05,1.820,44.3,29.85,7.37,4.05,1.820,44.3
257.502,,29.77,7.37,4.04,1.824,45.0,29.85,7.37,4.05,1.820,44.3
260.002,,29.73,7.36,4.04,1.822,44.7,29.77,7.37,4.04,1.824,45.0
262.502,,29.66,7.36,4.03,1.826,45.4,29.73,7.36,4.04,1.822,44.7
265.002,,29.74,7.38,4.03,1.831,46.1,29.66,7.36,4.03,1.826,45.4
267.502,,29.86,7.39,4.04,1.829,45.8,29.74,7.38,4.03,1.831,46.1
270.002,,29.74,7.38,4.03,1.831,46.1,29.86,7.39,4.04,1.829,45.8
272.502,,29.78,7.39,4.03,1.834,46.5,29.74,7.38,4.03,1.831,46.1
275.002,,29.78,7.39,4.03,1.834,46.5,29.78,7.39,4.03,1.834,46.5
277.501,,29.71,7.39,4.02,1.838,47.2,29.78,7.39,4.03,1.834,46.5
280.002,,29.79,7.41,4.02,1.843,48.0,29.71,7.39,4.02,1.838,47.2
282.502,,29.90,7.42,4.03,1.841,47.6,29.79,7.41,4.02,1.843,48.0
285.002,,29.83,7.42,4.02,1.846,48.3,29.90,7.42,4.03,1.841,47.6
287.502,,29.83,7.42,4.02,1.846,48.3,29.83,7.42,4.02,1.846,48.3
290.002,,29.83,7.42,4.02,1.846,48.3,29.83,7.42,4.02,1.846,48.3
292.501,,29.83,7.42,4.02,1.846,48.3,29.83,7.42,4.02,1.846,48.3
295.002,,29.83,7.42,4.02,1.846,48.3,29.83,7.42,4.02,1.846,48.3
297.501,,29.83,7.42,4.02,1.846,48.3,29.83,7.42,4.02,1.846,48.3
300.002,,29.75,7.42,4.01,1.850,49.0,29.83,7.42,4.02,1.846,48.3
302.502,,29.87,7.43,4.02,1.848,48.7,29.75,7.42,4.01,1.850,49.0
305.001,,29.75,7.42,4.01,1.850,49.0,29.87,7.43,4.02,1.848,48.7
307.502,,29.79,7.43,4.01,1.853,49.4,29.75,7.42,4.01,1.850,49.0
310.002,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
312.502,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
315.002,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
317.502,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
320.002,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
322.502,,29.79,7.43,4.01,1.853,49.4,29.79,7.43,4.01,1.853,49.4
325.002,,29.72,7.43,4.00,1.857,50.1,29.79,7.43,4.01,1.853,49.4
327.501,,29.76,7.44,4.00,1.860,50.5,29.72,7.43,4.00,1.857,50.1
330.002,,29.80,7.45,4.00,1.863,50.9,29.76,7.44,4.00,1.860,50.5
332.502,,29.84,7.46,4.00,1.865,51.3,29.80,7.45,4.00,1.863,50.9
335.001,,29.84,7.46,4.00,1.865,51.3,29.84,7.46,4.00,1.865,51.3
337.502,,29.84,7.46,4.00,1.865,51.3,29.84,7.46,4.00,1.865,51.3
340.002,,29.77,7.46,3.99,1.870,52.0,29.84,7.46,4.00,1.865,51.3
342.502,,29.77,7.46,3.99,1.870,52.0,29.77,7.46,3.99,1.870,52.0
345.002,,29.77,7.46,3.99,1.870,52.0,29.77,7.46,3.99,1.870,52.0
347.502,,29.77,7.46,3.99,1.870,52.0,29.77,7.46,3.99,1.870,52.0
350.001,,29.69,7.46,3.98,1.874,52.7,29.77,7.46,3.99,1.870,52.0
352.502,,29.81,7.47,3.99,1.872,52.4,29.69,7.46,3.98,1.874,52.7
355.002,,29.73,7.47,3.98,1.877,53.1,29.81,7.47,3.99,1.872,52.4
357.502,,29.89,7.49,3.99,1.877,53.1,29.73,7.47,3.98,1.877,53.1
360.002,,29.77,7.48,3.98,1.879,53.5,29.89,7.49,3.99,1.877,53.1
362.503,,29.77,7.48,3.98,1.879,53.5,29.77,7.48,3.98,1.879,53.5
365.001,,29.77,7.48,3.98,1.879,53.5,29.77,7.48,3.98,1.879,53.5
367.502,,29.70,7.48,3.97,1.884,54.2,29.77,7.48,3.98,1.879,53.5
370.002,,29.85,7.50,3.98,1.884,54.3,29.70,7.48,3.97,1.884,54.2
372.502,,29.78,7.50,3.97,1.889,55.0,29.85,7.50,3.98,1.884,54.3
375.001,,29.78,7.50,3.97,1.889,55.0,29.78,7.50,3.97,1.889,55.0
377.501,,29.78,7.50,3.97,1.889,55.0,29.78,7.50,3.97,1.889,55.0
380.002,,29.70,7.50,3.96,1.894,55.7,29.78,7.50,3.97,1.889,55.0
382.503,,29.74,7.51,3.96,1.896,56.1,29.70,7.50,3.96,1.894,55.7
385.001,,29.85,7.52,3.97,1.894,55.8,29.74,7.51,3.96,1.896,56.1
387.502,,29.74,7.51,3.96,1.896,56.1,29.85,7.52,3.97,1.894,55.8
390.002,,29.78,7.52,3.96,1.899,56.5,29.74,7.51,3.96,1.896,56.1
392.501,,29.78,7.52,3.96,1.899,56.5,29.78,7.52,3.96,1.899,56.5
395.002,,29.82,7.53,3.96,1.902,56.9,29.78,7.52,3.96,1.899,56.5
397.502,,29.86,7.54,3.96,1.904,57.3,29.82,7.53,3.96,1.902,56.9
400.002,,29.86,7.54,3.96,1.904,57.3,29.86,7.54,3.96,1.904,57.3
402.502,,29.86,7.54,3.96,1.904,57.3,29.86,7.54,3.96,1.904,57.3
405.002,,29.78,7.54,3.95,1.909,58.0,29.86,7.54,3.96,1.904,57.3
407.502,,29.78,7.54,3.95,1.909,58.0,29.78,7.54,3.95,1.909,58.0
410.001,,29.78,7.54,3.95,1.909,58.0,29.78,7.54,3.95,1.909,58.0
412.501,,29.78,7.54,3.95,1.909,58.0,29.78,7.54,3.95,1.909,58.0
415.002,,29.78,7.54,3.95,1.909,58.0,29.78,7.54,3.95,1.909,58.0
417.502,,29.71,7.54,3.94,1.914,58.7,29.78,7.54,3.95,1.909,58.0
420.002,,29.82,7.55,3.95,1.911,58.4,29.71,7.54,3.94,1.914,58.7
