now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta
0.000,preprocess,5.470,2.729,2.005,1.36130,26.0,,2.73,2.01,0,0.000000
0.000,timerEvent,89.698,11.172,8.029,1.39139,31.8,bangBang,11.21,8.03,0,0.000000
1.357,timerEvent,91.426,11.401,8.019,1.42176,37.6,bangBang,11.44,8.02,0,0.000000
2.713,timerEvent,92.546,11.541,8.019,1.43918,40.9,bangBang,11.58,8.02,0,0.000000
4.070,timerEvent,93.427,11.651,8.019,1.45287,43.5,bangBang,11.69,8.02,0,0.000000
6.001,timerEvent,94.547,11.790,8.019,1.47029,46.9,bangBang,11.83,8.02,0,0.000000
8.001,timerEvent,95.627,11.910,8.029,1.48337,49.4,bangBang,11.95,8.03,0,0.000000
10.001,timerEvent,96.747,12.050,8.029,1.50073,52.7,bangBang,12.09,8.03,0,0.000000
12.002,timerEvent,97.503,12.159,8.019,1.51626,55.6,bangBang,12.20,8.02,0,0.000000
14.002,timerEvent,98.620,12.298,8.019,1.53363,59.0,bangBang,12.34,8.02,0,0.000000
16.001,timerEvent,99.623,12.408,8.029,1.54535,61.2,bangBang,12.45,8.03,0,0.000000
18.001,timerEvent,100.422,12.507,8.029,1.55774,63.6,bangBang,12.55,8.03,0,0.000000
20.001,timerEvent,101.333,12.637,8.019,1.57582,67.0,bangBang,12.68,8.02,0,0.000000
22.001,timerEvent,102.211,12.746,8.019,1.58947,69.7,bangBang,12.79,8.02,0,0.000000
24.001,timerEvent,103.169,12.865,8.019,1.60436,72.5,bangBang,12.91,8.02,0,0.000000
26.002,timerEvent,104.046,12.975,8.019,1.61800,75.1,bangBang,13.02,8.02,0,0.000000
28.001,timerEvent,105.210,13.104,8.029,1.63202,77.8,bangBang,13.15,8.03,0,0.000000
30.001,timerEvent,106.085,13.213,8.029,1.64560,80.4,bangBang,13.26,8.03,0,0.000000
32.002,timerEvent,106.881,13.312,8.029,1.65794,82.8,bangBang,13.36,8.03,0,0.000000
34.001,timerEvent,107.780,13.441,8.019,1.67608,86.2,bangBang,13.49,8.02,0,0.000000
36.002,timerEvent,108.711,13.540,8.029,1.68632,88.2,bangBang,13.59,8.03,0,0.000000
38.001,timerEvent,109.528,13.659,8.019,1.70326,91.4,bangBang,13.71,8.02,0,0.000000
