now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,5.49,2.73,2.01,1.358,26.0,0,0.000000
0.000,timerEvent,115.95,12.77,9.08,1.406,35.2,0,0.000000
1.355,timerEvent,116.78,12.99,8.99,1.445,42.6,0,0.000000
2.713,timerEvent,117.91,13.16,8.96,1.469,47.2,0,0.000000
4.071,timerEvent,118.15,13.26,8.91,1.488,50.9,0,0.000000
6.001,timerEvent,118.15,13.35,8.85,1.508,54.8,0,0.000000
8.001,timerEvent,118.14,13.44,8.79,1.529,58.8,0,0.000000
10.001,timerEvent,118.20,13.54,8.73,1.551,63.0,0,0.000000
12.001,timerEvent,118.67,13.64,8.70,1.568,66.2,0,0.000000
14.000,timerEvent,118.23,13.70,8.63,1.587,70.0,0,0.000000
16.001,timerEvent,118.59,13.79,8.60,1.603,73.0,0,0.000000
18.002,timerEvent,118.64,13.86,8.56,1.619,76.0,0,0.000000
20.001,timerEvent,118.46,13.92,8.51,1.636,79.2,0,0.000000
22.001,timerEvent,118.72,14.00,8.48,1.651,82.1,0,0.000000
24.001,timerEvent,118.44,14.05,8.43,1.667,85.2,0,0.000000
26.001,timerEvent,118.69,14.13,8.40,1.682,88.1,0,0.000000
28.001,timerEvent,118.63,14.19,8.36,1.697,91.0,0,0.000000
30.001,timerEvent,118.93,14.26,8.34,1.710,93.4,0,0.000000
32.002,timerEvent,118.77,14.31,8.30,1.724,96.2,0,0.000000
34.001,timerEvent,118.70,14.37,8.26,1.740,99.2,0,0.000000
38.002,timerEvent,117.75,14.43,8.16,1.768,104.7,0,0.000000
40.001,timerEvent,5.20,2.99,1.74,1.718,95.1,0,0.000000
44.002,timerEvent,115.44,14.34,8.05,1.781,107.1,0,0.000000
46.001,timerEvent,5.17,2.99,1.73,1.728,97.0,0,0.000000
50.002,timerEvent,114.98,14.39,7.99,1.801,110.9,0,0.000000
52.001,timerEvent,5.11,2.99,1.71,1.749,100.9,0,0.000000
54.001,timerEvent,5.14,2.99,1.72,1.738,98.9,0,0.000000
58.002,timerEvent,114.57,14.43,7.94,1.817,114.1,0,0.000000
60.002,timerEvent,5.05,2.99,1.69,1.769,104.8,0,0.000000
62.001,timerEvent,5.08,2.99,1.70,1.759,102.8,0,0.000000
64.002,timerEvent,5.11,2.99,1.71,1.749,100.9,0,0.000000
66.002,timerEvent,5.11,2.99,1.71,1.749,100.9,0,0.000000
