now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,5.49,2.73,2.01,1.358,26.0,0,0.000000
0.000,timerEvent,115.73,12.76,9.07,1.407,35.3,0,0.000000
1.357,timerEvent,116.78,12.99,8.99,1.445,42.6,0,0.000000
2.714,timerEvent,117.91,13.16,8.96,1.469,47.2,0,0.000000
4.070,timerEvent,118.28,13.26,8.92,1.487,50.6,0,0.000000
6.001,timerEvent,117.93,13.34,8.84,1.509,54.9,0,0.000000
8.002,timerEvent,118.27,13.44,8.80,1.527,58.4,0,0.000000
10.002,timerEvent,118.03,13.52,8.73,1.549,62.5,0,0.000000
12.001,timerEvent,118.49,13.62,8.70,1.566,65.8,0,0.000000
14.001,timerEvent,118.14,13.69,8.63,1.586,69.7,0,0.000000
16.001,timerEvent,118.51,13.78,8.60,1.602,72.8,0,0.000000
18.001,timerEvent,118.61,13.84,8.57,1.615,75.2,0,0.000000
20.001,timerEvent,118.37,13.91,8.51,1.635,79.0,0,0.000000
22.002,timerEvent,118.78,13.99,8.49,1.648,81.5,0,0.000000
24.001,timerEvent,118.67,14.06,8.44,1.666,85.0,0,0.000000
26.001,timerEvent,118.75,14.12,8.41,1.679,87.5,0,0.000000
28.001,timerEvent,118.63,14.19,8.36,1.697,91.0,0,0.000000
30.002,timerEvent,118.93,14.26,8.34,1.710,93.4,0,0.000000
32.001,timerEvent,118.92,14.31,8.31,1.722,95.8,0,0.000000
34.002,timerEvent,118.61,14.36,8.26,1.738,98.9,0,0.000000
38.002,timerEvent,117.97,14.44,8.17,1.767,104.5,0,0.000000
40.002,timerEvent,5.25,3.00,1.75,1.714,94.3,0,0.000000
44.002,timerEvent,115.36,14.33,8.05,1.780,106.9,0,0.000000
46.001,timerEvent,5.17,2.99,1.73,1.728,97.0,0,0.000000
