now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,warmUp,3.15,2.10,1.50,1.400,26.0,0.00,0.00,0.00,0.000,0.0
1.349,warmUp,33.08,6.59,5.02,1.313,9.8,3.15,2.10,1.50,1.400,26.0
2.702,warmUp,27.02,6.17,4.38,1.409,27.6,33.08,6.59,5.02,1.313,9.8
5.002,warmUp,28.82,6.39,4.51,1.417,29.1,27.02,6.17,4.38,1.409,27.6
7.501,warmUp,28.80,6.40,4.50,1.422,30.1,28.82,6.39,4.51,1.417,29.1
10.002,warmUp,28.78,6.41,4.49,1.428,31.1,28.80,6.40,4.50,1.422,30.1
12.502,warmUp,28.76,6.42,4.48,1.433,32.1,28.78,6.41,4.49,1.428,31.1
15.003,warmUp,28.70,6.42,4.47,1.436,32.7,28.76,6.42,4.48,1.433,32.1
17.502,warmUp,28.72,6.44,4.46,1.444,34.2,28.70,6.42,4.47,1.436,32.7
20.002,warmUp,28.81,6.46,4.46,1.448,35.0,28.72,6.44,4.46,1.444,34.2
22.502,warmUp,28.75,6.46,4.45,1.452,35.6,28.81,6.46,4.46,1.448,35.0
25.002,warmUp,28.62,6.46,4.43,1.458,36.8,28.75,6.46,4.45,1.452,35.6
27.502,warmUp,28.75,6.49,4.43,1.465,38.1,28.62,6.46,4.43,1.458,36.8
30.002,warmUp,28.73,6.50,4.42,1.471,39.1,28.75,6.49,4.43,1.465,38.1
32.502,warmUp,28.82,6.52,4.42,1.475,40.0,28.73,6.50,4.42,1.471,39.1
35.002,warmUp,28.86,6.53,4.42,1.477,40.4,28.82,6.52,4.42,1.475,40.0
37.502,warmUp,28.73,6.53,4.40,1.484,41.6,28.86,6.53,4.42,1.477,40.4
40.002,warmUp,28.82,6.55,4.40,1.489,42.5,28.73,6.53,4.40,1.484,41.6
42.501,warmUp,28.80,6.56,4.39,1.494,43.5,28.82,6.55,4.40,1.489,42.5
45.002,warmUp,28.84,6.57,4.39,1.497,44.0,28.80,6.56,4.39,1.494,43.5
47.502,warmUp,28.71,6.57,4.37,1.503,45.2,28.84,6.57,4.39,1.497,44.0
50.001,warmUp,28.91,6.60,4.38,1.507,45.9,28.71,6.57,4.37,1.503,45.2
52.501,warmUp,28.78,6.60,4.36,1.514,47.2,28.91,6.60,4.38,1.507,45.9
55.001,warmUp,28.82,6.61,4.36,1.516,47.6,28.78,6.60,4.36,1.514,47.2
57.501,warmUp,28.86,6.62,4.36,1.518,48.0,28.82,6.61,4.36,1.516,47.6
60.002,warmUp,28.84,6.63,4.35,1.524,49.1,28.86,6.62,4.36,1.518,48.0
62.501,warmUp,28.82,6.64,4.34,1.530,50.2,28.84,6.63,4.35,1.524,49.1
65.002,warmUp,28.86,6.65,4.34,1.532,50.6,28.82,6.64,4.34,1.530,50.2
67.502,warmUp,28.79,6.65,4.33,1.536,51.3,28.86,6.65,4.34,1.532,50.6
70.002,warmUp,28.77,6.66,4.32,1.542,52.4,28.79,6.65,4.33,1.536,51.3
72.502,warmUp,28.81,6.67,4.32,1.544,52.8,28.77,6.66,4.32,1.542,52.4
75.001,warmUp,28.68,6.67,4.30,1.551,54.1,28.81,6.67,4.32,1.544,52.8
77.501,warmUp,28.72,6.68,4.30,1.553,54.6,28.68,6.67,4.30,1.551,54.1
80.002,warmUp,28.81,6.70,4.30,1.558,55.4,28.72,6.68,4.30,1.553,54.6
82.502,warmUp,28.79,6.71,4.29,1.564,56.5,28.81,6.70,4.30,1.558,55.4
85.001,warmUp,28.79,6.71,4.29,1.564,56.5,28.79,6.71,4.29,1.564,56.5
87.502,warmUp,28.65,6.71,4.27,1.571,57.9,28.79,6.71,4.29,1.564,56.5
90.002,warmUp,28.85,6.74,4.28,1.575,58.5,28.65,6.71,4.27,1.571,57.9
92.501,warmUp,28.78,6.74,4.27,1.578,59.2,28.85,6.74,4.28,1.575,58.5
95.001,warmUp,28.82,6.75,4.27,1.581,59.6,28.78,6.74,4.27,1.578,59.2
