now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count,transition-count
0.000,preprocess,5.470,2.729,2.005,1.36130,27.0,,2.73,2.01,0,0.000000,0,0
0.000,timerEvent,89.745,11.192,8.019,1.39562,33.6,bangBang,11.23,8.02,0,0.000000,0,0
1.355,timerEvent,91.586,11.421,8.019,1.42424,39.1,bangBang,11.46,8.02,0,0.000000,0,0
2.710,timerEvent,92.706,11.561,8.019,1.44167,42.4,bangBang,11.60,8.02,0,0.000000,0,0
4.067,timerEvent,93.587,11.671,8.019,1.45536,45.1,bangBang,11.71,8.02,0,0.000000,0,0
6.001,timerEvent,94.627,11.800,8.019,1.47154,48.2,bangBang,11.84,8.02,0,0.000000,0,0
8.001,timerEvent,95.587,11.920,8.019,1.48647,51.0,bangBang,11.96,8.02,0,0.000000,0,0
10.002,timerEvent,96.705,12.059,8.019,1.50385,54.4,bangBang,12.10,8.02,0,0.000000,0,0
12.001,timerEvent,97.583,12.169,8.019,1.51750,57.0,bangBang,12.21,8.02,0,0.000000,0,0
14.001,timerEvent,98.700,12.308,8.019,1.53488,60.3,bangBang,12.35,8.02,0,0.000000,0,0
16.001,timerEvent,99.498,12.408,8.019,1.54728,62.7,bangBang,12.45,8.02,0,0.000000,0,0
18.001,timerEvent,100.376,12.517,8.019,1.56093,65.3,bangBang,12.56,8.02,0,0.000000,0,0
20.001,timerEvent,101.413,12.647,8.019,1.57706,68.4,bangBang,12.69,8.02,0,0.000000,0,0
22.001,timerEvent,102.291,12.756,8.019,1.59071,71.1,bangBang,12.80,8.02,0,0.000000,0,0
24.002,timerEvent,103.328,12.885,8.019,1.60684,74.2,bangBang,12.93,8.02,0,0.000000,0,0
26.001,timerEvent,104.125,12.985,8.019,1.61924,76.5,bangBang,13.03,8.02,0,0.000000,0,0
28.001,timerEvent,2.564,2.014,1.273,1.58194,69.4,bangBang,2.01,1.28,0,0.000000,0,1
30.002,timerEvent,103.807,12.945,8.019,1.61429,75.6,bangBang,12.99,8.02,0,0.000000,0,2
32.001,timerEvent,2.544,2.014,1.263,1.59450,71.8,bangBang,2.01,1.27,0,0.000000,0,3
34.001,timerEvent,104.681,13.054,8.019,1.62789,78.2,bangBang,13.10,8.02,0,0.000000,0,4
36.002,timerEvent,2.524,2.014,1.253,1.60727,74.2,bangBang,2.01,1.26,0,0.000000,0,5
38.001,timerEvent,105.396,13.143,8.019,1.63901,80.3,bangBang,13.19,8.02,0,0.000000,0,6
40.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,7
42.001,timerEvent,2.524,2.014,1.253,1.60727,74.2,bangBang,2.01,1.26,0,0.000000,0,7
44.002,timerEvent,105.555,13.163,8.019,1.64148,80.8,bangBang,13.21,8.02,0,0.000000,0,8
46.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,9
48.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,9
50.002,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,9
52.001,timerEvent,2.524,2.014,1.253,1.60727,74.2,bangBang,2.01,1.26,0,0.000000,0,9
54.001,timerEvent,105.873,13.203,8.019,1.64642,81.8,bangBang,13.25,8.02,0,0.000000,0,10
56.002,timerEvent,2.483,2.014,1.233,1.63342,79.3,bangBang,2.01,1.24,0,0.000000,0,11
58.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,11
60.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,11
62.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,11
64.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,11
66.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,11
68.001,timerEvent,2.524,2.014,1.253,1.60727,74.2,bangBang,2.01,1.26,0,0.000000,0,11
70.001,timerEvent,106.271,13.252,8.019,1.65260,82.9,bangBang,13.30,8.02,0,0.000000,0,12
72.001,timerEvent,2.483,2.014,1.233,1.63342,79.3,bangBang,2.01,1.24,0,0.000000,0,13
74.002,timerEvent,2.483,2.014,1.233,1.63342,79.3,bangBang,2.01,1.24,0,0.000000,0,13
76.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,13
78.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,13
80.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,13
82.002,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,13
84.001,timerEvent,2.503,2.014,1.243,1.62024,76.7,bangBang,2.01,1.25,0,0.000000,0,13
