now,power,voltage,current,resistance,temperature
0,3.405,2.27,1.5,1.51333333333333,26
1.34951996803284,8.802,3.26,2.7,1.20740740740741,-25.9823788546256
2.70184063911438,6.3687,2.99,2.13,1.4037558685446,7.38079578794355
4.0541787147522,6.3474,2.98,2.13,1.39906103286385,6.58305781827527
5.40630888938904,6.3474,2.98,2.13,1.39906103286385,6.58305781827527
6.75875020027161,6.3474,2.98,2.13,1.39906103286385,6.58305781827527
8.11130952835083,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
9.46376132965088,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
10.8160338401794,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
12.1683669090271,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
13.5210518836975,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
15.0007400512695,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
16.5011894702911,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
18.001024723053,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
19.5004229545593,6.3176,2.98,2.12,1.40566037735849,7.70440647375232
21.0012595653534,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
22.5008080005646,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
24.0009462833405,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
25.5004184246063,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
27.0014171600342,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
28.5004646778107,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
30.0011122226715,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
31.5006861686707,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
33.0011284351349,6.2878,2.98,2.11,1.41232227488152,8.8363840264377
34.5008406639099,6.258,2.98,2.1,1.41904761904762,9.97914231772
