now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,6.85,3.41,2.01,1.697,72.0,0
1.350,timerEvent,45.75,8.41,5.44,1.546,46.5,0
2.702,timerEvent,37.92,7.85,4.83,1.625,59.9,0
5.002,timerEvent,39.56,8.04,4.92,1.634,61.4,0
7.502,timerEvent,39.57,8.06,4.91,1.642,62.7,0
10.002,timerEvent,39.67,8.08,4.91,1.646,63.4,0
12.502,timerEvent,39.56,8.09,4.89,1.654,64.9,0
15.002,timerEvent,39.79,8.12,4.90,1.657,65.3,0
17.503,timerEvent,39.54,8.12,4.87,1.667,67.1,0
20.002,timerEvent,39.61,8.15,4.86,1.677,68.7,0
22.502,timerEvent,39.71,8.17,4.86,1.681,69.4,0
25.002,timerEvent,39.80,8.19,4.86,1.685,70.1,0
27.502,timerEvent,39.77,8.20,4.85,1.691,71.0,0
30.002,timerEvent,39.61,8.20,4.83,1.698,72.2,0
32.502,timerEvent,39.75,8.23,4.83,1.704,73.3,0
35.002,timerEvent,39.80,8.24,4.83,1.706,73.6,0
37.502,timerEvent,39.77,8.25,4.82,1.712,74.6,0
40.002,timerEvent,39.68,8.25,4.81,1.715,75.2,0
42.502,timerEvent,39.65,8.26,4.80,1.721,76.1,0
45.001,timerEvent,39.74,8.28,4.80,1.725,76.8,0
47.502,timerEvent,39.71,8.29,4.79,1.731,77.8,0
50.002,timerEvent,39.76,8.30,4.79,1.733,78.1,0
52.502,timerEvent,39.59,8.30,4.77,1.740,79.4,0
55.002,timerEvent,39.73,8.33,4.77,1.746,80.4,0
57.502,timerEvent,39.57,8.33,4.75,1.754,81.7,0
60.002,timerEvent,39.79,8.36,4.76,1.756,82.1,0
62.502,timerEvent,39.84,8.37,4.76,1.758,82.5,0
65.002,timerEvent,39.59,8.37,4.73,1.770,84.4,0
67.502,timerEvent,39.27,8.39,4.68,1.793,88.3,0
70.002,timerEvent,39.80,8.45,4.71,1.794,88.5,0
72.502,timerEvent,39.63,8.45,4.69,1.802,89.8,0
75.001,timerEvent,39.68,8.46,4.69,1.804,90.2,0
77.502,timerEvent,39.72,8.47,4.69,1.806,90.6,0
80.002,timerEvent,39.69,8.48,4.68,1.812,91.6,0
82.502,timerEvent,39.65,8.49,4.67,1.818,92.6,0
85.002,timerEvent,39.70,8.50,4.67,1.820,93.0,0
87.502,timerEvent,39.70,8.52,4.66,1.828,94.4,0
90.002,timerEvent,39.80,8.54,4.66,1.833,95.1,0
92.502,timerEvent,39.71,8.54,4.65,1.837,95.7,0
95.002,timerEvent,39.80,8.56,4.65,1.841,96.5,0
97.502,timerEvent,39.85,8.57,4.65,1.843,96.8,0
