now,event,power,voltage,current,resistance,temperature,stage,raw-current,raw-voltage,steady-state-count,filtered-delta
118.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
120.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
122.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
124.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
126.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
128.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
130.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
132.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
134.001,timerEvent,106.696,13.807,7.728,1.78674,108.2,bangBang,7.73,13.86,0,0.000000
136.002,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
138.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
140.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
142.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
144.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
146.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
148.001,timerEvent,106.557,13.807,7.718,1.78907,108.6,bangBang,7.72,13.86,0,0.000000
150.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
152.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
154.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
156.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
158.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
160.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
162.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
164.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
166.001,timerEvent,107.174,13.797,7.768,1.77622,106.2,bangBang,7.77,13.85,0,0.000000
168.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
170.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
