now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,0.02,0.24,0.10,2.400,191.3,0
1.351,timerEvent,72.98,9.97,7.32,1.362,15.3,0
2.703,timerEvent,38.61,7.41,5.21,1.422,25.5,0
5.002,timerEvent,39.48,7.52,5.25,1.432,27.2,0
7.502,timerEvent,39.36,7.54,5.22,1.444,29.3,0
10.002,timerEvent,39.64,7.58,5.23,1.449,30.1,0
12.502,timerEvent,39.54,7.59,5.21,1.457,31.3,0
15.002,timerEvent,39.62,7.62,5.20,1.465,32.8,0
17.502,timerEvent,39.52,7.63,5.18,1.473,34.1,0
20.001,timerEvent,39.60,7.66,5.17,1.482,35.6,0
22.502,timerEvent,39.58,7.67,5.16,1.486,36.4,0
