now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,5.75,2.86,2.01,1.423,25.6,0
1.348,timerEvent,65.85,9.42,6.99,1.348,12.8,0
2.699,timerEvent,56.84,8.98,6.33,1.419,24.9,0
5.002,timerEvent,58.97,9.20,6.41,1.435,27.7,0
7.501,timerEvent,59.02,9.25,6.38,1.450,30.2,0
10.001,timerEvent,59.15,9.30,6.36,1.462,32.3,0
12.502,timerEvent,59.22,9.34,6.34,1.473,34.1,0
15.002,timerEvent,59.19,9.38,6.31,1.487,36.4,0
17.502,timerEvent,59.25,9.42,6.29,1.498,38.3,0
20.002,timerEvent,59.25,9.45,6.27,1.507,39.9,0
22.502,timerEvent,59.34,9.48,6.26,1.514,41.1,0
25.002,timerEvent,59.25,9.51,6.23,1.526,43.2,0
27.502,timerEvent,59.40,9.55,6.22,1.535,44.7,0
30.002,timerEvent,59.24,9.57,6.19,1.546,46.5,0
32.502,timerEvent,59.55,9.62,6.19,1.554,47.9,0
35.003,timerEvent,59.22,9.63,6.15,1.566,49.8,0
37.502,timerEvent,59.34,9.68,6.13,1.579,52.1,0
40.002,timerEvent,59.43,9.71,6.12,1.587,53.4,0
42.502,timerEvent,59.41,9.74,6.10,1.597,55.1,0
45.002,timerEvent,59.30,9.77,6.07,1.610,57.3,0
47.502,timerEvent,59.39,9.80,6.06,1.617,58.5,0
50.001,timerEvent,59.18,9.83,6.02,1.633,61.2,0
52.502,timerEvent,59.12,9.87,5.99,1.648,63.7,0
55.002,timerEvent,59.42,9.92,5.99,1.656,65.1,0
57.502,timerEvent,59.50,9.95,5.98,1.664,66.5,0
60.002,timerEvent,59.48,9.98,5.96,1.674,68.3,0
62.502,timerEvent,59.66,10.01,5.96,1.680,69.1,0
65.002,timerEvent,59.42,10.02,5.93,1.690,70.8,0
67.502,timerEvent,59.44,10.04,5.92,1.696,71.9,0
70.002,timerEvent,59.41,10.07,5.90,1.707,73.7,0
72.502,timerEvent,59.49,10.10,5.89,1.715,75.1,0
75.001,timerEvent,59.51,10.12,5.88,1.721,76.2,0
77.502,timerEvent,59.58,10.15,5.87,1.729,77.5,0
80.002,timerEvent,59.44,10.16,5.85,1.737,78.8,0
82.502,timerEvent,59.41,10.19,5.83,1.748,80.7,0
85.002,timerEvent,59.64,10.23,5.83,1.755,81.9,0
87.502,timerEvent,59.60,10.24,5.82,1.759,82.7,0
90.002,timerEvent,59.55,10.25,5.81,1.764,83.5,0
92.502,timerEvent,59.46,10.27,5.79,1.774,85.1,0
95.002,timerEvent,59.58,10.29,5.79,1.777,85.7,0
97.502,timerEvent,59.49,10.31,5.77,1.787,87.3,0
100.002,timerEvent,59.50,10.33,5.76,1.793,88.4,0
102.502,timerEvent,59.57,10.36,5.75,1.802,89.8,0
105.002,timerEvent,59.42,10.37,5.73,1.810,91.2,0
107.502,timerEvent,59.49,10.40,5.72,1.818,92.6,0
110.002,timerEvent,59.50,10.42,5.71,1.825,93.8,0
112.502,timerEvent,59.67,10.45,5.71,1.830,94.7,0
115.002,timerEvent,59.46,10.45,5.69,1.837,95.7,0
117.502,timerEvent,59.53,10.48,5.68,1.845,97.2,0
120.002,timerEvent,59.64,10.50,5.68,1.849,97.8,0
122.502,timerEvent,59.54,10.52,5.66,1.859,99.5,0
125.002,timerEvent,59.55,10.54,5.65,1.865,100.7,0
127.502,timerEvent,59.56,10.56,5.64,1.872,101.8,0
130.002,timerEvent,59.51,10.57,5.63,1.877,102.7,0
132.502,timerEvent,59.57,10.60,5.62,1.886,104.2,0
135.002,timerEvent,59.52,10.61,5.61,1.891,105.0,0
137.502,timerEvent,59.69,10.64,5.61,1.897,105.9,0
140.002,timerEvent,59.53,10.65,5.59,1.905,107.4,0
142.502,timerEvent,59.70,10.68,5.59,1.911,108.3,0
145.002,timerEvent,59.65,10.69,5.58,1.916,109.2,0
147.502,timerEvent,59.49,10.70,5.56,1.924,110.7,0
150.002,timerEvent,59.66,10.73,5.56,1.930,111.6,0
152.502,timerEvent,59.61,10.74,5.55,1.935,112.5,0
155.002,timerEvent,59.61,10.76,5.54,1.942,113.7,0
157.502,timerEvent,59.67,10.79,5.53,1.951,115.2,0
160.002,timerEvent,59.62,10.80,5.52,1.957,116.1,0
162.502,timerEvent,59.73,10.82,5.52,1.960,116.7,0
165.002,timerEvent,59.67,10.83,5.51,1.966,117.6,0
167.501,timerEvent,59.62,10.84,5.50,1.971,118.5,0
170.002,timerEvent,59.73,10.86,5.50,1.975,119.2,0
