now,event,power,voltage,current,resistance,temperature,stage,steady-state-count,filtered-delta
88.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
90.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
92.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
94.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
96.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
98.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
100.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
102.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
104.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
106.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
108.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
110.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
112.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
114.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
116.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
118.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
120.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
122.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
124.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
126.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
128.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
130.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
132.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
134.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
136.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
138.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
140.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
142.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
144.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
146.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
148.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
150.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
152.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
154.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
156.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
158.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
160.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
162.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
164.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
166.002,timerEvent,106.18,13.80,7.69,1.79354,109.3,bangBang,0,0.000000
168.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
170.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
172.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
174.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
176.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
178.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
180.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
182.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
184.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
186.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
188.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
190.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
192.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
194.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
196.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
198.001,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
200.002,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
202.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
204.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
206.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
208.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
210.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
212.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
214.002,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
216.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
218.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
220.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
222.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
224.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
226.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
228.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
230.001,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
232.002,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
234.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
236.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
238.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
240.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
242.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
244.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
246.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
248.002,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
250.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
252.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
254.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
256.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
258.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
260.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
262.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
264.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
266.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
268.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
270.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
272.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
274.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
276.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
278.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
280.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
282.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
284.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
286.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
288.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
290.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
292.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
294.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
296.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
298.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
300.001,timerEvent,105.91,13.80,7.67,1.79821,110.2,bangBang,0,0.000000
302.002,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
304.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
306.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
308.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
310.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
312.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
314.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
316.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
318.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
320.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
322.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
324.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
326.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
328.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
330.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
332.002,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
334.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
336.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
338.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
340.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
342.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
344.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
346.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
348.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
350.001,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
352.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
354.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
356.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
358.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
360.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
362.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
364.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
366.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
368.002,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
370.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
372.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
374.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
376.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
378.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
380.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
382.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
384.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
386.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
388.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
390.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
392.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
394.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
396.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
398.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
400.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
402.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
404.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
406.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
408.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
410.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
412.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
414.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
416.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
418.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
420.001,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
422.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
424.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
426.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
428.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
430.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
432.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
434.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
436.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
438.002,timerEvent,105.77,13.80,7.66,1.80055,110.7,bangBang,0,0.000000
440.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
442.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
444.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
446.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
448.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
450.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
452.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
454.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
456.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
458.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
460.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
462.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
464.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
466.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
468.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
470.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
472.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
474.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
476.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
478.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
480.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
482.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
484.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
486.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
488.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
490.002,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
492.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
494.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
496.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
498.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
500.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
502.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
504.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
506.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
508.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
510.001,timerEvent,106.18,13.80,7.69,1.79354,109.3,bangBang,0,0.000000
512.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
514.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
516.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
518.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
520.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
522.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
524.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
526.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
528.001,timerEvent,106.18,13.80,7.69,1.79354,109.3,bangBang,0,0.000000
530.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
532.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
534.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
536.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
538.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
540.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
542.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
544.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
546.001,timerEvent,106.18,13.80,7.69,1.79354,109.3,bangBang,0,0.000000
548.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
550.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
552.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
554.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
556.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
558.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
560.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
562.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
564.001,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
566.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
568.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
570.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
572.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
574.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
576.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
578.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
580.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
582.001,timerEvent,105.91,13.80,7.67,1.79821,110.2,bangBang,0,0.000000
584.003,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
586.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
588.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
590.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
592.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
594.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
596.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
598.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
600.002,timerEvent,105.91,13.80,7.67,1.79821,110.2,bangBang,0,0.000000
602.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
604.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
606.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
608.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
610.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
612.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
614.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
616.002,timerEvent,106.04,13.80,7.68,1.79587,109.8,bangBang,0,0.000000
618.001,timerEvent,5.06,2.99,1.69,1.76636,104.1,bangBang,0,0.000000
620.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
622.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
624.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
626.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
628.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
630.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
632.002,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
634.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
636.001,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
638.001,timerEvent,25.42,6.73,3.78,1.78210,107.1,steady,0,0.000000
640.001,timerEvent,25.41,6.71,3.79,1.77211,105.2,steady,0,-0.009985
642.001,timerEvent,25.30,6.70,3.78,1.77416,105.6,steady,0,-0.008783
