now,event,power,voltage,current,resistance,temperature,stage,steady-state-count,filtered-delta
0.000,preprocess,5.57,2.75,2.02,1.35875,26.0,,0,0.000000
0.000,timerEvent,88.97,11.13,7.99,1.39232,32.4,bangBang,0,0.000000
1.355,timerEvent,91.24,11.40,8.00,1.42432,38.6,bangBang,0,0.000000
2.714,timerEvent,92.44,11.55,8.00,1.44306,42.2,bangBang,0,0.000000
4.069,timerEvent,93.40,11.67,8.00,1.45806,45.0,bangBang,0,0.000000
6.001,timerEvent,94.36,11.79,8.00,1.47305,47.9,bangBang,0,0.000000
8.001,timerEvent,95.65,11.95,8.00,1.49304,51.7,bangBang,0,0.000000
10.002,timerEvent,96.53,12.06,8.00,1.50678,54.4,bangBang,0,0.000000
12.001,timerEvent,97.65,12.20,8.00,1.52427,57.7,bangBang,0,0.000000
14.001,timerEvent,98.53,12.31,8.00,1.53802,60.4,bangBang,0,0.000000
16.001,timerEvent,99.57,12.44,8.00,1.55426,63.5,bangBang,0,0.000000
18.002,timerEvent,100.45,12.55,8.00,1.56800,66.1,bangBang,0,0.000000
20.001,timerEvent,101.25,12.65,8.00,1.58050,68.5,bangBang,0,0.000000
22.001,timerEvent,102.29,12.78,8.00,1.59674,71.6,bangBang,0,0.000000
24.002,timerEvent,103.09,12.88,8.00,1.60923,74.0,bangBang,0,0.000000
26.001,timerEvent,104.13,13.01,8.00,1.62548,77.1,bangBang,0,0.000000
28.001,timerEvent,105.01,13.12,8.00,1.63922,79.8,bangBang,0,0.000000
30.001,timerEvent,106.05,13.25,8.00,1.65546,82.9,bangBang,0,0.000000
32.002,timerEvent,106.93,13.36,8.00,1.66921,85.5,bangBang,0,0.000000
34.002,timerEvent,107.73,13.46,8.00,1.68170,87.9,bangBang,0,0.000000
36.001,timerEvent,108.48,13.57,7.99,1.69755,90.9,bangBang,0,0.000000
38.002,timerEvent,108.69,13.63,7.97,1.70931,93.2,bangBang,0,0.000000
40.002,timerEvent,108.46,13.67,7.93,1.72296,95.8,bangBang,0,0.000000
42.002,timerEvent,108.74,13.74,7.91,1.73615,98.3,bangBang,0,0.000000
44.001,timerEvent,108.58,13.79,7.87,1.75131,101.2,bangBang,0,0.000000
46.002,timerEvent,5.27,2.99,1.76,1.69639,90.7,bangBang,0,0.000000
48.002,timerEvent,107.56,13.66,7.87,1.73480,98.1,bangBang,0,0.000000
50.001,timerEvent,107.76,13.79,7.81,1.76475,103.8,bangBang,0,0.000000
52.001,timerEvent,5.21,2.99,1.74,1.71581,94.4,bangBang,0,0.000000
54.002,timerEvent,106.74,13.73,7.77,1.76610,104.1,bangBang,0,0.000000
56.001,timerEvent,5.18,2.99,1.73,1.72569,96.3,bangBang,0,0.000000
58.001,timerEvent,106.91,13.77,7.76,1.77352,105.5,bangBang,0,0.000000
60.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
62.002,timerEvent,106.87,13.80,7.74,1.78197,107.1,bangBang,0,0.000000
64.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
66.002,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
68.002,timerEvent,106.59,13.80,7.72,1.78658,108.0,bangBang,0,0.000000
70.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
72.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
74.002,timerEvent,106.46,13.80,7.71,1.78890,108.5,bangBang,0,0.000000
76.002,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
78.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
80.001,timerEvent,5.15,2.99,1.72,1.73568,98.3,bangBang,0,0.000000
82.002,timerEvent,105.91,13.80,7.67,1.79821,110.2,bangBang,0,0.000000
84.001,timerEvent,5.09,2.99,1.70,1.75601,102.1,bangBang,0,0.000000
86.001,timerEvent,5.12,2.99,1.71,1.74579,100.2,bangBang,0,0.000000
