now,event,power,voltage,current,resistance,temperature,steady-state-count
210.003,timerEvent,49.69,9.86,5.04,1.956,116.1,0
212.502,timerEvent,49.74,9.87,5.04,1.958,116.4,0
215.002,timerEvent,49.65,9.87,5.03,1.962,117.1,0
217.502,timerEvent,49.65,9.89,5.02,1.970,118.4,0
220.001,timerEvent,49.85,9.91,5.03,1.970,118.4,0
222.502,timerEvent,49.65,9.91,5.01,1.978,119.7,0
225.002,timerEvent,49.75,9.93,5.01,1.982,120.4,0
227.502,timerEvent,49.70,9.94,5.00,1.988,121.4,0
230.002,timerEvent,49.65,9.95,4.99,1.994,122.4,0
232.502,timerEvent,49.75,9.97,4.99,1.998,123.1,0
235.001,timerEvent,49.60,9.98,4.97,2.008,124.8,0
237.501,timerEvent,49.60,10.00,4.96,2.016,126.2,0
240.002,timerEvent,49.85,10.03,4.97,2.018,126.5,0
242.502,timerEvent,49.75,10.03,4.96,2.022,127.2,0
245.002,timerEvent,49.65,10.03,4.95,2.026,127.9,0
247.502,timerEvent,49.75,10.05,4.95,2.030,128.6,0
250.002,timerEvent,49.60,10.06,4.93,2.041,130.3,0
252.502,timerEvent,49.90,10.08,4.95,2.036,129.6,0
255.002,timerEvent,49.85,10.07,4.95,2.034,129.3,0
257.502,timerEvent,49.95,10.07,4.96,2.030,128.6,0
260.002,timerEvent,49.70,10.06,4.94,2.036,129.6,0
262.501,timerEvent,49.65,10.07,4.93,2.043,130.7,0
265.002,timerEvent,49.59,10.08,4.92,2.049,131.7,0
267.502,timerEvent,49.74,10.11,4.92,2.055,132.8,0
270.002,timerEvent,49.64,10.11,4.91,2.059,133.5,0
272.502,timerEvent,49.69,10.12,4.91,2.061,133.8,0
275.002,timerEvent,49.74,10.13,4.91,2.063,134.2,0
277.502,timerEvent,49.64,10.13,4.90,2.067,134.9,0
280.002,timerEvent,49.74,10.15,4.90,2.071,135.6,0
282.502,timerEvent,49.78,10.16,4.90,2.073,135.9,0
285.002,timerEvent,49.78,10.16,4.90,2.073,135.9,0
287.502,timerEvent,49.68,10.16,4.89,2.078,136.6,0
290.001,timerEvent,49.73,10.17,4.89,2.080,137.0,0
292.502,timerEvent,49.58,10.18,4.87,2.090,138.8,0
295.002,timerEvent,49.88,10.20,4.89,2.086,138.0,0
297.502,timerEvent,49.78,10.20,4.88,2.090,138.8,0
300.002,timerEvent,49.67,10.20,4.87,2.094,139.5,0
302.502,timerEvent,49.72,10.21,4.87,2.097,139.8,0
305.002,timerEvent,49.82,10.21,4.88,2.092,139.1,0
307.502,timerEvent,49.67,10.20,4.87,2.094,139.5,0
310.002,timerEvent,49.87,10.22,4.88,2.094,139.5,0
312.502,timerEvent,49.72,10.21,4.87,2.097,139.8,0
315.002,timerEvent,49.52,10.21,4.85,2.105,141.3,0
317.502,timerEvent,49.66,10.24,4.85,2.111,142.4,0
320.002,timerEvent,49.71,10.25,4.85,2.113,142.7,0
322.502,timerEvent,49.66,10.26,4.84,2.120,143.8,0
325.002,timerEvent,49.96,10.28,4.86,2.115,143.0,0
327.501,timerEvent,49.81,10.27,4.85,2.118,143.4,0
330.001,timerEvent,49.71,10.27,4.84,2.122,144.1,0
332.502,timerEvent,49.65,10.28,4.83,2.128,145.2,0
335.002,timerEvent,49.75,10.30,4.83,2.133,145.9,0
337.502,timerEvent,49.90,10.31,4.84,2.130,145.5,0
340.001,timerEvent,49.90,10.31,4.84,2.130,145.5,0
342.502,timerEvent,49.69,10.31,4.82,2.139,147.0,0
345.001,timerEvent,49.64,10.32,4.81,2.146,148.1,0
347.502,timerEvent,49.79,10.33,4.82,2.143,147.7,0
350.001,timerEvent,50.00,10.33,4.84,2.134,146.2,0
