now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta
0.000,preprocess,5.470,2.729,2.005,1.36130,26.0,,2.73,2.01,0,0.000000
0.000,timerEvent,89.585,11.172,8.019,1.39313,32.1,bangBang,11.21,8.02,0,0.000000
1.356,timerEvent,91.506,11.411,8.019,1.42300,37.8,bangBang,11.45,8.02,0,0.000000
2.712,timerEvent,92.546,11.541,8.019,1.43918,40.9,bangBang,11.58,8.02,0,0.000000
4.068,timerEvent,93.507,11.661,8.019,1.45411,43.8,bangBang,11.70,8.02,0,0.000000
6.001,timerEvent,94.547,11.790,8.019,1.47029,46.9,bangBang,11.83,8.02,0,0.000000
8.002,timerEvent,95.507,11.910,8.019,1.48523,49.7,bangBang,11.95,8.02,0,0.000000
10.001,timerEvent,96.626,12.050,8.019,1.50261,53.0,bangBang,12.09,8.02,0,0.000000
12.002,timerEvent,97.625,12.159,8.029,1.51436,55.3,bangBang,12.20,8.03,0,0.000000
14.002,timerEvent,98.620,12.298,8.019,1.53363,59.0,bangBang,12.34,8.02,0,0.000000
16.001,timerEvent,99.498,12.408,8.019,1.54728,61.6,bangBang,12.45,8.02,0,0.000000
18.001,timerEvent,100.296,12.507,8.019,1.55969,64.0,bangBang,12.55,8.02,0,0.000000
20.002,timerEvent,101.333,12.637,8.019,1.57582,67.0,bangBang,12.68,8.02,0,0.000000
22.001,timerEvent,102.211,12.746,8.019,1.58947,69.7,bangBang,12.79,8.02,0,0.000000
24.001,timerEvent,103.248,12.875,8.019,1.60560,72.7,bangBang,12.92,8.02,0,0.000000
26.002,timerEvent,104.046,12.975,8.019,1.61800,75.1,bangBang,13.02,8.02,0,0.000000
28.002,timerEvent,105.158,13.114,8.019,1.63530,78.4,bangBang,13.16,8.02,0,0.000000
30.002,timerEvent,106.085,13.213,8.029,1.64560,80.4,bangBang,13.26,8.03,0,0.000000
32.001,timerEvent,106.747,13.312,8.019,1.66002,83.2,bangBang,13.36,8.02,0,0.000000
34.002,timerEvent,107.780,13.441,8.019,1.67608,86.2,bangBang,13.49,8.02,0,0.000000
36.001,timerEvent,108.575,13.540,8.019,1.68844,88.6,bangBang,13.59,8.02,0,0.000000
38.002,timerEvent,109.528,13.659,8.019,1.70326,91.4,bangBang,13.71,8.02,0,0.000000
40.002,timerEvent,109.592,13.718,7.989,1.71713,94.1,bangBang,13.77,7.99,0,0.000000
42.001,timerEvent,109.572,13.768,7.959,1.72987,96.5,bangBang,13.82,7.96,0,0.000000
44.001,timerEvent,109.768,13.827,7.939,1.74173,98.8,bangBang,13.88,7.94,0,0.000000
46.001,timerEvent,109.525,13.867,7.898,1.75562,101.4,bangBang,13.92,7.90,0,0.000000
48.002,timerEvent,5.293,3.017,1.754,1.71974,94.6,bangBang,3.02,1.76,0,0.000000
50.001,timerEvent,107.955,13.738,7.858,1.74821,100.0,bangBang,13.79,7.86,0,0.000000
52.002,timerEvent,5.262,3.017,1.744,1.72963,96.5,bangBang,3.02,1.75,0,0.000000
54.002,timerEvent,108.128,13.777,7.848,1.75550,101.4,bangBang,13.83,7.85,0,0.000000
56.002,timerEvent,5.232,3.017,1.734,1.73964,98.4,bangBang,3.02,1.74,0,0.000000
58.001,timerEvent,108.300,13.817,7.838,1.76280,102.8,bangBang,13.87,7.84,0,0.000000
60.002,timerEvent,5.232,3.017,1.734,1.73964,98.4,bangBang,3.02,1.74,0,0.000000
62.002,timerEvent,107.606,13.817,7.788,1.77418,105.0,bangBang,13.87,7.79,0,0.000000
64.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
66.002,timerEvent,5.232,3.017,1.734,1.73964,98.4,bangBang,3.02,1.74,0,0.000000
68.002,timerEvent,107.328,13.817,7.768,1.77877,105.9,bangBang,13.87,7.77,0,0.000000
70.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
72.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
74.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
76.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
78.001,timerEvent,5.215,3.007,1.734,1.73388,97.3,bangBang,3.01,1.74,0,0.000000
80.002,timerEvent,106.835,13.807,7.738,1.78442,107.0,bangBang,13.86,7.74,0,0.000000
82.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
84.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
86.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
88.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
90.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
92.001,timerEvent,5.215,3.007,1.734,1.73388,97.3,bangBang,3.01,1.74,0,0.000000
94.002,timerEvent,106.835,13.807,7.738,1.78442,107.0,bangBang,13.86,7.74,0,0.000000
96.001,timerEvent,5.141,3.017,1.704,1.77037,104.3,bangBang,3.02,1.71,0,0.000000
98.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
100.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
102.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
104.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
106.002,timerEvent,5.215,3.007,1.734,1.73388,97.3,bangBang,3.01,1.74,0,0.000000
108.002,timerEvent,106.696,13.807,7.728,1.78674,107.4,bangBang,13.86,7.73,0,0.000000
110.001,timerEvent,5.141,3.017,1.704,1.77037,104.3,bangBang,3.02,1.71,0,0.000000
112.002,timerEvent,5.155,3.007,1.714,1.75418,101.2,bangBang,3.01,1.72,0,0.000000
114.002,timerEvent,5.185,3.007,1.724,1.74397,99.2,bangBang,3.01,1.73,0,0.000000
116.001,timerEvent,106.863,13.847,7.718,1.79420,108.8,bangBang,13.90,7.72,0,0.000000
118.001,timerEvent,5.111,3.017,1.694,1.78086,106.3,bangBang,3.02,1.70,0,0.000000
120.002,timerEvent,5.141,3.017,1.704,1.77037,104.3,bangBang,3.02,1.71,0,0.000000
122.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
124.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
126.002,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
128.001,timerEvent,5.185,3.007,1.724,1.74397,99.2,bangBang,3.01,1.73,0,0.000000
130.001,timerEvent,106.863,13.847,7.718,1.79420,108.8,bangBang,13.90,7.72,0,0.000000
132.002,timerEvent,5.111,3.017,1.694,1.78086,106.3,bangBang,3.02,1.70,0,0.000000
134.001,timerEvent,5.172,3.017,1.714,1.76001,102.3,bangBang,3.02,1.72,0,0.000000
