now,event,power,voltage,current,resistance,temperature,stage,raw-current,raw-voltage,steady-state-count,filtered-delta
0.000,preprocess,5.593,2.750,2.034,1.35212,26.0,,2.03,0.00,0,0.000000
0.000,timerEvent,89.643,11.200,8.004,1.39933,35.1,bangBang,8.02,0.00,0,0.000000
1.355,timerEvent,91.484,11.430,8.004,1.42807,40.6,bangBang,8.02,0.00,0,0.000000
2.711,timerEvent,92.604,11.570,8.004,1.44556,44.0,bangBang,8.02,0.00,0,0.000000
4.067,timerEvent,93.484,11.680,8.004,1.45931,46.6,bangBang,8.02,0.00,0,0.000000
6.001,timerEvent,94.525,11.810,8.004,1.47555,49.8,bangBang,8.02,0.00,0,0.000000
8.002,timerEvent,95.485,11.930,8.004,1.49054,52.7,bangBang,8.02,0.00,0,0.000000
10.001,timerEvent,96.606,12.070,8.004,1.50803,56.0,bangBang,8.02,0.00,0,0.000000
12.002,timerEvent,97.486,12.180,8.004,1.52178,58.7,bangBang,8.02,0.00,0,0.000000
14.001,timerEvent,98.607,12.320,8.004,1.53927,62.0,bangBang,8.02,0.00,0,0.000000
16.002,timerEvent,99.487,12.430,8.004,1.55301,64.7,bangBang,8.02,0.00,0,0.000000
18.001,timerEvent,100.288,12.530,8.004,1.56550,67.1,bangBang,8.02,0.00,0,0.000000
20.002,timerEvent,101.328,12.660,8.004,1.58175,70.2,bangBang,8.02,0.00,0,0.000000
22.001,timerEvent,102.082,12.770,7.994,1.59748,73.3,bangBang,8.01,0.00,0,0.000000
