128.001,timerEvent,66.61,11.01,6.05,1.820,112.0,steady,0,0.003306
130.001,timerEvent,66.51,11.03,6.03,1.829,113.8,steady,0,0.003910
132.001,timerEvent,66.63,11.05,6.03,1.833,114.4,steady,0,0.003851
134.002,timerEvent,66.47,11.06,6.01,1.840,115.9,steady,0,0.004242
136.002,timerEvent,66.54,11.09,6.00,1.848,117.4,steady,0,0.004625
138.002,timerEvent,66.72,11.12,6.00,1.853,118.4,steady,0,0.004662
140.001,timerEvent,66.56,11.13,5.98,1.861,119.9,steady,0,0.004983
142.001,timerEvent,66.63,11.16,5.97,1.869,121.4,steady,0,0.005299
144.002,timerEvent,66.57,11.17,5.96,1.874,122.3,steady,0,0.005251
146.000,timerEvent,66.58,11.19,5.95,1.881,123.6,steady,0,0.005377
148.001,timerEvent,66.59,11.21,5.94,1.887,124.8,steady,0,0.005492
150.001,timerEvent,66.53,11.22,5.93,1.892,125.7,steady,0,0.005430
152.001,timerEvent,66.71,11.25,5.93,1.897,126.7,steady,0,0.005393
154.001,timerEvent,66.66,11.26,5.92,1.902,127.6,steady,0,0.005343
156.001,timerEvent,66.61,11.27,5.91,1.907,128.6,steady,0,0.005300
158.001,timerEvent,66.44,11.28,5.89,1.915,130.1,steady,0,0.005587
160.001,timerEvent,66.62,11.31,5.89,1.920,131.1,steady,0,0.005538
162.001,timerEvent,66.56,11.32,5.88,1.925,132.0,steady,0,0.005481
164.001,timerEvent,66.57,11.34,5.87,1.932,133.3,steady,0,0.005601
166.001,timerEvent,66.74,11.37,5.87,1.937,134.3,steady,0,0.005552
168.001,timerEvent,66.69,11.38,5.86,1.942,135.2,steady,0,0.005498
170.001,timerEvent,66.63,11.39,5.85,1.947,136.2,steady,0,0.005451
172.001,timerEvent,66.58,11.40,5.84,1.952,137.2,steady,0,0.005411
174.002,timerEvent,66.75,11.43,5.84,1.957,138.1,steady,0,0.005383
176.001,timerEvent,66.46,11.42,5.82,1.962,139.1,steady,0,0.005346
178.001,timerEvent,66.70,11.46,5.82,1.969,140.4,steady,0,0.005498
180.001,timerEvent,66.64,11.47,5.81,1.974,141.4,steady,0,0.005460
182.002,timerEvent,66.58,11.48,5.80,1.979,142.3,steady,0,0.005426
184.001,timerEvent,66.64,11.51,5.79,1.988,144.0,steady,0,0.005744
186.001,timerEvent,66.59,11.52,5.78,1.993,145.0,steady,0,0.005686
188.001,timerEvent,66.76,11.55,5.78,1.998,146.0,steady,0,0.005637
