now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,warmUp,3.39,2.26,1.50,1.507,24.5,0.00,0.00,0.00,0.000,0.0
1.349,warmUp,29.13,6.62,4.40,1.505,24.1,3.39,2.26,1.50,1.507,24.5
2.701,warmUp,28.84,6.60,4.37,1.510,25.1,29.13,6.62,4.40,1.505,24.1
5.001,warmUp,28.71,6.60,4.35,1.517,26.3,28.84,6.60,4.37,1.510,25.1
7.502,warmUp,28.80,6.62,4.35,1.522,27.1,28.71,6.60,4.35,1.517,26.3
10.002,warmUp,28.82,6.64,4.34,1.530,28.5,28.80,6.62,4.35,1.522,27.1
12.502,warmUp,28.86,6.65,4.34,1.532,28.9,28.82,6.64,4.34,1.530,28.5
15.002,warmUp,28.79,6.65,4.33,1.536,29.5,28.86,6.65,4.34,1.532,28.9
17.502,warmUp,28.77,6.66,4.32,1.542,30.5,28.79,6.65,4.33,1.536,29.5
20.002,warmUp,28.75,6.67,4.31,1.548,31.5,28.77,6.66,4.32,1.542,30.5
22.502,warmUp,28.68,6.67,4.30,1.551,32.1,28.75,6.67,4.31,1.548,31.5
25.001,warmUp,28.72,6.68,4.30,1.553,32.5,28.68,6.67,4.30,1.551,32.1
27.502,warmUp,28.81,6.70,4.30,1.558,33.3,28.72,6.68,4.30,1.553,32.5
30.002,warmUp,28.79,6.71,4.29,1.564,34.3,28.81,6.70,4.30,1.558,33.3
32.502,warmUp,28.72,6.71,4.28,1.568,34.9,28.79,6.71,4.29,1.564,34.3
35.001,warmUp,28.76,6.72,4.28,1.570,35.3,28.72,6.71,4.28,1.568,34.9
37.502,warmUp,28.69,6.72,4.27,1.574,36.0,28.76,6.72,4.28,1.570,35.3
40.002,warmUp,28.78,6.74,4.27,1.578,36.8,28.69,6.72,4.27,1.574,36.0
42.502,warmUp,28.75,6.75,4.26,1.585,37.8,28.78,6.74,4.27,1.578,36.8
45.002,warmUp,28.69,6.75,4.25,1.588,38.4,28.75,6.75,4.26,1.585,37.8
47.501,warmUp,28.73,6.76,4.25,1.591,38.8,28.69,6.75,4.25,1.588,38.4
50.002,warmUp,28.77,6.77,4.25,1.593,39.2,28.73,6.76,4.25,1.591,38.8
52.502,warmUp,28.70,6.77,4.24,1.597,39.9,28.77,6.77,4.25,1.593,39.2
55.001,warmUp,28.79,6.79,4.24,1.601,40.7,28.70,6.77,4.24,1.597,39.9
57.501,warmUp,28.72,6.79,4.23,1.605,41.3,28.79,6.79,4.24,1.601,40.7
60.002,warmUp,28.76,6.80,4.23,1.608,41.7,28.72,6.79,4.23,1.605,41.3
62.502,warmUp,28.70,6.80,4.22,1.611,42.4,28.76,6.80,4.23,1.608,41.7
65.002,warmUp,28.67,6.81,4.21,1.618,43.4,28.70,6.80,4.22,1.611,42.4
67.502,warmUp,28.75,6.83,4.21,1.622,44.2,28.67,6.81,4.21,1.618,43.4
