0.000,preprocess,5.49,2.73,2.01,1.358,26.0,0,0.000000
0.000,timerEvent,89.58,11.17,8.02,1.393,32.6,0,0.000000
1.355,timerEvent,91.43,11.40,8.02,1.421,38.1,0,0.000000
2.710,timerEvent,92.63,11.55,8.02,1.440,41.7,0,0.000000
4.068,timerEvent,93.59,11.67,8.02,1.455,44.6,0,0.000000
6.001,timerEvent,94.64,11.80,8.02,1.471,47.7,0,0.000000
8.000,timerEvent,95.68,11.93,8.02,1.488,50.8,0,0.000000
10.001,timerEvent,96.88,12.08,8.02,1.506,54.4,0,0.000000
12.001,timerEvent,97.76,12.19,8.02,1.520,57.0,0,0.000000
14.001,timerEvent,98.89,12.33,8.02,1.537,60.4,0,0.000000
16.001,timerEvent,99.77,12.44,8.02,1.551,63.0,0,0.000000
18.002,timerEvent,100.65,12.55,8.02,1.565,65.6,0,0.000000
20.001,timerEvent,101.69,12.68,8.02,1.581,68.7,0,0.000000
22.001,timerEvent,102.58,12.79,8.02,1.595,71.4,0,0.000000
24.001,timerEvent,103.54,12.91,8.02,1.610,74.2,0,0.000000
26.001,timerEvent,104.42,13.02,8.02,1.623,76.9,0,0.000000
28.001,timerEvent,105.46,13.15,8.02,1.640,80.0,0,0.000000
30.001,timerEvent,106.27,13.25,8.02,1.652,82.4,0,0.000000
32.001,timerEvent,107.15,13.36,8.02,1.666,85.0,0,0.000000
34.002,timerEvent,108.19,13.49,8.02,1.682,88.1,0,0.000000
36.001,timerEvent,108.91,13.58,8.02,1.693,90.3,0,0.000000
38.001,timerEvent,108.77,13.63,7.98,1.708,93.1,0,0.000000
40.001,timerEvent,108.84,13.69,7.95,1.722,95.8,0,0.000000
42.002,timerEvent,108.90,13.75,7.92,1.736,98.5,0,0.000000
44.000,timerEvent,109.02,13.80,7.90,1.747,100.5,0,0.000000
46.001,timerEvent,108.86,13.85,7.86,1.762,103.4,0,0.000000
48.001,timerEvent,109.05,13.91,7.84,1.774,105.8,0,0.012148
50.000,timerEvent,109.17,13.96,7.82,1.785,107.9,0,0.012027
52.000,timerEvent,108.92,14.00,7.78,1.799,110.6,0,0.012256
54.001,timerEvent,109.11,14.06,7.76,1.812,113.0,0,0.012267
56.001,timerEvent,108.92,14.09,7.73,1.823,115.1,0,0.012132
58.001,timerEvent,109.02,14.14,7.71,1.834,117.2,0,0.012040
60.001,timerEvent,108.98,14.19,7.68,1.848,119.9,0,0.012203
62.000,timerEvent,109.08,14.24,7.66,1.859,122.0,0,0.012118
64.001,timerEvent,109.18,14.29,7.64,1.870,124.2,0,0.012047
66.001,timerEvent,109.05,14.33,7.61,1.883,126.6,0,0.012106
68.001,timerEvent,109.29,14.38,7.60,1.892,128.4,0,0.011801
