now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count,transition-count
0.000,preprocess,5.443,2.729,1.995,1.36812,27.0,,2.73,2.00,0,0.000000,0,0
0.000,timerEvent,89.745,11.192,8.019,1.39562,32.3,bangBang,11.23,8.02,0,0.000000,0,0
1.356,timerEvent,91.666,11.431,8.019,1.42549,38.0,bangBang,11.47,8.02,0,0.000000,0,0
2.711,timerEvent,92.706,11.561,8.019,1.44167,41.1,bangBang,11.60,8.02,0,0.000000,0,0
4.068,timerEvent,93.667,11.681,8.019,1.45660,43.9,bangBang,11.72,8.02,0,0.000000,0,0
6.001,timerEvent,94.707,11.810,8.019,1.47278,47.0,bangBang,11.85,8.02,0,0.000000,0,0
8.002,timerEvent,95.668,11.930,8.019,1.48771,49.9,bangBang,11.97,8.02,0,0.000000,0,0
10.002,timerEvent,96.785,12.069,8.019,1.50510,53.2,bangBang,12.11,8.02,0,0.000000,0,0
12.001,timerEvent,97.663,12.179,8.019,1.51874,55.8,bangBang,12.22,8.02,0,0.000000,0,0
14.001,timerEvent,98.780,12.318,8.019,1.53612,59.1,bangBang,12.36,8.02,0,0.000000,0,0
16.001,timerEvent,99.658,12.428,8.019,1.54977,61.7,bangBang,12.47,8.02,0,0.000000,0,0
18.001,timerEvent,100.535,12.537,8.019,1.56341,64.3,bangBang,12.58,8.02,0,0.000000,0,0
20.001,timerEvent,101.493,12.656,8.019,1.57830,67.2,bangBang,12.70,8.02,0,0.000000,0,0
22.002,timerEvent,102.371,12.766,8.019,1.59195,69.8,bangBang,12.81,8.02,0,0.000000,0,0
24.001,timerEvent,103.408,12.895,8.019,1.60808,72.9,bangBang,12.94,8.02,0,0.000000,0,0
26.001,timerEvent,104.284,13.005,8.019,1.62171,75.5,bangBang,13.05,8.02,0,0.000000,0,0
28.001,timerEvent,2.544,2.014,1.263,1.59450,70.3,bangBang,2.01,1.27,0,0.000000,0,1
30.002,timerEvent,103.887,12.955,8.019,1.61553,74.3,bangBang,13.00,8.02,0,0.000000,0,2
32.001,timerEvent,105.396,13.143,8.019,1.63901,78.8,bangBang,13.19,8.02,0,0.000000,0,2
34.002,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,3
36.002,timerEvent,105.317,13.133,8.019,1.63777,78.5,bangBang,13.18,8.02,0,0.000000,0,4
38.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,5
40.001,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,5
42.001,timerEvent,106.032,13.223,8.019,1.64889,80.7,bangBang,13.27,8.02,0,0.000000,0,6
44.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,7
46.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,7
48.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,7
50.002,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,7
52.001,timerEvent,106.271,13.252,8.019,1.65260,81.4,bangBang,13.30,8.02,0,0.000000,0,8
54.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,9
56.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,9
58.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,9
60.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,9
62.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,9
64.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,9
66.002,timerEvent,2.511,2.004,1.253,1.59934,71.2,bangBang,2.00,1.26,0,0.000000,0,9
68.002,timerEvent,105.953,13.213,8.019,1.64766,80.4,bangBang,13.26,8.02,0,0.000000,0,10
70.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,11
72.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,11
74.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
76.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
78.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
80.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
82.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
84.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
86.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,11
88.001,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,11
90.001,timerEvent,106.112,13.232,8.019,1.65013,80.9,bangBang,13.28,8.02,0,0.000000,0,12
92.002,timerEvent,2.463,2.014,1.223,1.64681,80.3,bangBang,2.01,1.23,0,0.000000,0,13
94.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,13
96.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
98.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
100.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
102.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
104.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
106.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
108.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
110.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
112.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
114.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,13
116.002,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,13
118.001,timerEvent,106.112,13.232,8.019,1.65013,80.9,bangBang,13.28,8.02,0,0.000000,0,14
120.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,15
122.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,0,15
124.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
126.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
128.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
130.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
132.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
134.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
136.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
138.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
140.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0,15
142.002,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0,15
144.002,timerEvent,106.137,13.252,8.009,1.65467,81.8,bangBang,13.30,8.01,0,0.000000,1,16
146.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,2,17
148.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,3,17
