0.000,preprocess,5.47,2.72,2.01,1.353,26.0,0,0.000000
0.000,timerEvent,116.02,12.75,9.10,1.401,35.2,0,0.000000
1.354,timerEvent,116.77,12.96,9.01,1.438,42.4,0,0.000000
2.711,timerEvent,117.91,13.13,8.98,1.462,47.0,0,0.000000
4.069,timerEvent,118.37,13.24,8.94,1.481,50.6,0,0.000000
6.002,timerEvent,118.15,13.32,8.87,1.502,54.6,0,0.000000
8.001,timerEvent,118.14,13.41,8.81,1.522,58.5,0,0.000000
10.001,timerEvent,118.21,13.51,8.75,1.544,62.7,0,0.000000
12.002,timerEvent,118.59,13.60,8.72,1.560,65.7,0,0.000000
14.001,timerEvent,118.47,13.68,8.66,1.580,69.6,0,0.000000
16.000,timerEvent,118.52,13.75,8.62,1.595,72.6,0,0.000000
18.000,timerEvent,118.58,13.82,8.58,1.611,75.6,0,0.000000
20.001,timerEvent,118.48,13.89,8.53,1.628,79.0,0,0.000000
22.001,timerEvent,118.66,13.96,8.50,1.642,81.6,0,0.000000
24.000,timerEvent,118.38,14.01,8.45,1.658,84.7,0,0.000000
26.002,timerEvent,118.64,14.09,8.42,1.673,87.6,0,0.000000
28.001,timerEvent,118.66,14.16,8.38,1.690,90.8,0,0.000000
30.002,timerEvent,118.82,14.23,8.35,1.704,93.5,0,0.000000
32.001,timerEvent,119.04,14.29,8.33,1.715,95.7,0,0.000000
34.002,timerEvent,118.51,14.33,8.27,1.733,99.0,0,0.000000
36.002,timerEvent,118.66,14.40,8.24,1.748,101.9,0,0.000000
38.002,timerEvent,118.80,14.47,8.21,1.762,104.8,0,0.000000
40.001,timerEvent,118.92,14.52,8.19,1.773,106.8,0,0.010409
42.001,timerEvent,118.52,14.56,8.14,1.789,109.8,0,0.010948
44.001,timerEvent,119.02,14.64,8.13,1.801,112.1,0,0.011058
46.001,timerEvent,118.76,14.68,8.09,1.815,114.8,0,0.011337
48.001,timerEvent,118.58,14.73,8.05,1.830,117.7,0,0.011726
