Ambient temperature [26] 24.5
Current hotplate temperature [24.5] 
Current hotplate temperature [24.5] 
now,power,voltage,current,resistance,temperature
0,3.171,2.1,1.51,1.39072847682119,24.5
1.34882616996765,33.2795,6.59,5.05,1.3049504950495,8.63982622752072
2.70101952552795,26.8932,6.14,4.38,1.40182648401826,26.5519988817445
4.0522563457489,28.7472,6.36,4.52,1.4070796460177,27.5232978147011
5.40425753593445,28.8376,6.38,4.52,1.41150442477876,28.3414303774607
6.75630593299866,28.8828,6.39,4.52,1.41371681415929,28.7504966588406
8.10787510871887,28.755,6.39,4.5,1.42,29.9122448979592
9.4599335193634,28.8,6.4,4.5,1.42222222222222,30.3231292517007
10.8118300437927,28.845,6.41,4.5,1.42444444444444,30.7340136054422
12.1633877754211,28.7809,6.41,4.49,1.42761692650334,31.3205990636789
13.5149507522583,28.8258,6.42,4.49,1.42984409799555,31.7323985273397
15.0006334781647,28.8064,6.43,4.48,1.43526785714286,32.7352405247813
16.5007514953613,28.8512,6.44,4.48,1.4375,33.1479591836735
18.0011072158813,28.7868,6.44,4.47,1.4407158836689,33.7425695110259
19.5004386901855,28.8315,6.45,4.47,1.44295302013423,34.1562114778798
21.0014786720276,28.767,6.45,4.46,1.44618834080717,34.7544156676123
22.5009350776672,28.8116,6.46,4.46,1.44843049327354,35.1689850828224
24.001136302948,28.747,6.46,4.45,1.45168539325843,35.7708094473744
25.500586271286,28.7268,6.47,4.44,1.45720720720721,36.7917815774958
27.0013868808746,28.8805,6.49,4.45,1.45842696629213,37.0173125429947
28.5011603832245,28.8156,6.49,4.44,1.46171171171171,37.6246552675124
30.0007853507996,28.86,6.5,4.44,1.46396396396396,38.0410921125207
31.501323223114,28.8393,6.51,4.43,1.46952595936795,39.0694937117059
33.0005354881287,28.795,6.5,4.43,1.46726862302483,38.6521168286728
34.5010001659393,28.665,6.5,4.41,1.47392290249433,39.8824795224212
36.001282453537,28.8184,6.52,4.42,1.47511312217195,40.1025487117924
37.5005688667297,28.8626,6.53,4.42,1.47737556561086,40.5208698864161
39.0009431838989,28.7973,6.53,4.41,1.48072562358277,41.1402887685686
40.5008075237274,28.8855,6.55,4.41,1.48526077097506,41.9788282660003
42.0012352466583,28.82,6.55,4.4,1.48863636363636,42.6029684601113
43.5008614063263,28.864,6.56,4.4,1.49090909090909,43.0231910946196
45.0005333423615,28.7984,6.56,4.39,1.49430523917995,43.6511319789875
46.5005302429199,28.8423,6.57,4.39,1.49658314350797,44.0723118404538
48.0002069473267,28.7766,6.57,4.38,1.5,44.7040816326531
49.5011825561523,28.8642,6.59,4.38,1.50456621004566,45.5483645513
51.0008509159088,28.908,6.6,4.38,1.50684931506849,45.9705060106234
52.5006577968597,28.908,6.6,4.38,1.50684931506849,45.9705060106234
54.0012576580048,28.842,6.6,4.37,1.51029748283753,46.608065194041
55.5009648799896,28.776,6.6,4.36,1.51376146788991,47.2485489608687
57.0009317398071,28.8196,6.61,4.36,1.51605504587156,47.6726268489047
58.5004823207855,28.8632,6.62,4.36,1.51834862385321,48.0967047369406
60.0007193088531,28.8632,6.62,4.36,1.51834862385321,48.0967047369406
61.5014727115631,28.8405,6.63,4.35,1.52413793103448,49.1671358198452
63.0008184909821,28.884,6.64,4.35,1.5264367816092,49.5921885995778
64.5012905597687,28.884,6.64,4.35,1.5264367816092,49.5921885995778
66.0006062984467,28.8176,6.64,4.34,1.52995391705069,50.2424997648829
67.5014328956604,28.861,6.65,4.34,1.53225806451613,50.6685319289006
69.0008764266968,28.7945,6.65,4.33,1.53579676674365,51.3228307489278
70.5014297962189,28.8378,6.66,4.33,1.53810623556582,51.7498468209455
72.0013041496277,28.7712,6.66,4.32,1.54166666666667,52.4081632653061
73.5009527206421,28.8811,6.67,4.33,1.54041570438799,52.1768628929632
75.0005738735199,28.8144,6.67,4.32,1.54398148148148,52.8361678004535
76.5012745857239,28.7477,6.67,4.31,1.54756380510441,53.4985321274682
78.0009138584137,28.7477,6.67,4.31,1.54756380510441,53.4985321274682
79.5014545917511,28.681,6.67,4.3,1.55116279069767,54.1639772187945
81.000762462616,28.724,6.68,4.3,1.55348837209302,54.59397247271
82.5008125305176,28.81,6.7,4.3,1.55813953488372,55.4539629805411
84.0011842250824,28.9201,6.71,4.31,1.55684454756381,55.2145224679199
85.5007107257843,28.743,6.7,4.29,1.56177156177156,56.125517339803
87.0010092258453,28.7859,6.71,4.29,1.56410256410256,56.5565149136578
88.5010113716125,28.7859,6.71,4.29,1.56410256410256,56.5565149136578
90.0013942718506,28.7188,6.71,4.28,1.56775700934579,57.2322143810795
91.500324010849,28.8044,6.73,4.28,1.57242990654206,58.0962235361434
93.0007083415985,28.8472,6.74,4.28,1.57476635514019,58.5282281136754
94.5006141662598,28.8472,6.74,4.28,1.57476635514019,58.5282281136754
96.0008180141449,28.7798,6.74,4.27,1.57845433255269,59.2101276107633
97.5007300376892,28.8225,6.75,4.27,1.5807962529274,59.6431439086174
99.0008487701416,28.8225,6.75,4.27,1.5807962529274,59.6431439086174
100.500215291977,28.755,6.75,4.26,1.58450704225352,60.3292612819776
102.001076698303,28.755,6.75,4.26,1.58450704225352,60.3292612819776
103.500546455383,28.6875,6.75,4.25,1.58823529411765,61.0186074429772
105.000614643097,28.73,6.76,4.25,1.59058823529412,61.4536614645858
106.500580310822,28.8402,6.77,4.26,1.58920187793427,61.1973268180512
108.000834941864,28.6624,6.76,4.24,1.59433962264151,62.147285329226
109.500732183456,28.815,6.78,4.25,1.59529411764706,62.3237695078032
