now,resistance,temperature,device-temperature
214.501,3.00896,177.371973386273,156.7
216.001,3.03212,180.541794412348,157.2
217.501,2.95588,170.107115870554,158.6
219.001,2.92826,166.326871624432,159.8
220.501,2.91971,165.156665675686,159.9
222.001,2.91121,163.993303036583,160
223.501,2.90276,162.836783707121,160
225.001,2.98854,174.577165728568,160
226.501,3.02385,179.409910997597,159.8
228.001,3.04852,182.786399974854,160.6
229.501,3.07007,185.735866430463,161.9
231.001,2.99107,174.923437196442,163
232.501,2.96736,171.678339764308,164
234.001,2.95858,170.47665459121,164
235.501,2.94551,168.687813450848,164
237.001,2.93686,167.503920882819,164.2
238.501,2.93255,166.914027591697,164.2
240.001,3.01496,178.193170543287,164.2
241.501,3.04978,182.958851377827,164
243.001,3.07593,186.53790232048,164.9
244.501,3.09867,189.650239545564,166
246.001,3.11921,192.46147114641,166.8
247.501,3.04085,181.736636275804,168
249.001,3.01205,177.794889922135,168.9
250.501,3.003,176.556250876972,169.3
252.001,2.99401,175.325823803379,169.3
253.5,2.98507,174.102240039428,169.3
255.001,2.97177,172.281919674713,169.3
256.501,3.05741,184.003140429163,169.3
258,3.09348,188.939904004747,169.2
259.501,3.11948,192.498425018475,170
261.001,3.14161,195.527273865929,170.9
262.501,3.06402,184.907825963807,172
264.001,3.0349,180.922282428431,173
265.501,3.02572,179.6658507782,172.9
267.001,3.01659,178.416262437609,173
268.501,3.10093,189.959557141373,173
270.001,3.13654,194.833362268252,173
271.5,3.15997,198.040137166393,173.7
273,3.18182,201.030663479853,174.9
274.501,3.10185,190.085474038782,175.8
276.001,3.0722,186.027391421203,176.2
277.501,3.06279,184.739480546619,176.7
279.001,3.05344,183.459781643605,177
280.5,3.03951,181.553235577404,177
282.001,3.12811,193.679580262647,176.9
283.501,3.16343,198.513694193604,176.9
285.001,3.18607,201.612344799405,177.6
286.501,3.20763,204.563179916943,178
288.001,3.12597,193.386686609979,179.1
289.501,3.10078,189.939027212448,180
291.001,3.08642,187.973628683327,180.2
292.501,3.07692,186.673399851388,180.2
